,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,effort
47,0.0,1.0,3.0,8.0,329.0,2.0,0.97,0.0,90.0,1.0,0.0,5.0,2.0,13.1,2.0,3.72727272727273,1.0,1.0,0.638888888888889,0.0,0.666666666666667,0.0,3.0,0.0,5.0,0.00013415059455901268
54,0.0,1.0,4.0,3.0,80.0,2.0,0.33,0.0,81.0,2.0,0.0,22.0,1.0,4.76923076923077,1.0,6.07692307692308,1.0,1.0,1.7,0.0,0.583333333333333,0.0,5.0,5.0,3.0,3.8699314216184e-05
1640,13.0,1.0,13.0,4.0,455.0,23.0,0.4,0.0,94.0,2.0,1.0,31.0,2.0,5.62025316455696,0.0,6.13924050632911,1.0,1.0,0.91304347826087,5.0,0.538461538461538,0.0,2.0,1.0,8.0,9.40880282205292e-05
185,2.0,1.0,4.0,7.0,603.0,0.0,0.39,0.0,98.0,2.0,0.0,150.0,1.0,9.3375,0.0,11.8625,1.0,1.0,1.62352941176471,0.0,0.448275862068966,6.0,2.0,1.0,15.0,3.1540436426391594e-05
186,0.0,1.0,0.0,7.0,516.0,0.0,0.63,0.0,0.0,1.0,0.0,146.0,1.0,4.72857142857143,0.0,7.61428571428571,1.0,1.0,0.472972972972973,0.0,0.538461538461538,0.0,3.0,1.0,7.0,4.343354361635576e-05
187,0.0,1.0,1.0,5.0,115.0,0.0,0.66,0.0,93.0,1.0,0.0,35.0,1.0,3.1875,0.0,17.9,1.0,1.0,1.33333333333333,0.0,0.9,0.0,3.0,3.0,2.0,0.0031127879088588273
224,0.0,3.0,5.0,2.0,131.0,0.0,0.24,0.0,14.0,1.0,0.0,3.0,1.0,9.03571428571429,1.0,6.5,1.0,1.0,0.6,0.0,0.571428571428571,0.0,4.0,3.0,5.0,0.10463702448818613
231,0.0,2.0,9.0,6.0,666.0,1.0,0.6,0.0,88.0,2.0,3.0,26.0,1.0,10.2934782608696,0.0,4.71739130434783,1.0,1.0,0.94,0.0,0.545454545454545,0.0,2.0,1.0,11.0,1.7683827507886107e-05
1661,1.0,1.0,13.0,0.0,40.0,4.0,0.08,2.0,87.0,2.0,0.0,20.0,2.0,3.88235294117647,0.0,6.91176470588235,1.0,1.0,0.5,0.0,0.5,0.0,1.0,4.0,2.0,5.0693917680311174e-05
1662,3.0,1.0,1.0,2.0,67.0,0.0,0.33,0.0,80.0,2.0,12.0,14.0,2.0,2.76470588235294,0.0,13.7,0.0,1.0,0.695652173913043,0.0,0.714285714285714,0.0,1.0,3.0,2.0,0.009355741521715144
257,0.0,1.0,197.0,0.0,402.0,0.0,1.41,7.0,100.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,16.0,0.0001166022814453882
349,0.0,2.0,2.0,2.0,74.0,0.0,0.37,0.0,66.0,2.0,0.0,8.0,3.0,4.125,0.0,6.375,0.0,1.0,2.58333333333333,0.0,0.333333333333333,0.0,5.0,3.0,3.0,0.011527265248615803
455,0.0,1.0,6.0,2.0,75.0,2.0,0.27,1.0,74.0,2.0,0.0,16.0,3.0,2.88235294117647,0.0,12.7,0.0,1.0,0.708333333333333,0.0,0.2,0.0,3.0,5.0,2.0,0.0021009745920803624
545,262.0,1.0,223.0,0.0,399.0,109.0,0.02,0.0,99.0,2.0,3.0,55.0,2.0,2.61400778210117,0.0,3.49066147859922,24.0,0.0,5.3,0.0,0.6,0.0,3.0,5.0,4.0,0.0009899158114498041
552,117.0,1.0,137.0,0.0,211.0,76.0,0.02,0.0,99.0,2.0,2.0,39.0,2.0,3.28732394366197,0.0,3.22464788732394,0.0,0.0,0.433378196500673,0.0,0.1,0.0,2.0,5.0,5.0,1.5275511150436571e-06
563,57.0,1.0,46.0,0.0,90.0,24.0,0.02,0.0,97.0,2.0,2.0,16.0,2.0,2.25150905432596,0.0,3.39034205231388,0.0,1.0,0.442084942084942,0.0,0.833333333333333,0.0,1.0,2.0,1.0,0.0001881896697490948
574,4.0,3.0,1.0,6.0,209.0,0.0,0.74,0.0,66.0,1.0,0.0,19.0,1.0,6.11111111111111,3.0,4.7037037037037,1.0,1.0,0.620689655172414,0.0,0.222222222222222,0.0,4.0,1.0,2.0,0.0002985121567441462
585,0.0,1.0,0.0,0.0,18.0,0.0,0.06,0.0,0.0,1.0,4.0,9.0,1.0,0.0153846153846154,0.0,0.0153846153846154,0.0,1.0,0.0,0.0,0.25,0.0,4.0,0.0,3.0,0.018285914039336992
586,0.0,1.0,0.0,0.0,19.0,0.0,0.06,0.0,0.0,1.0,22.0,12.0,2.0,0.737704918032787,0.0,0.491803278688525,0.0,1.0,0.0,0.0,0.333333333333333,0.0,5.0,2.0,5.0,0.04347527296725473
589,2.0,1.0,7.0,1.0,159.0,5.0,0.32,0.0,89.0,2.0,4.0,17.0,2.0,7.21538461538462,0.0,2.83076923076923,1.0,1.0,0.363636363636364,0.0,0.9,0.0,4.0,9.0,3.0,0.00024404571382141693
592,63.0,1.0,0.0,6.0,453.0,0.0,2.68,0.0,0.0,4.0,3.0,8.0,1.0,1.0,1.0,0.0158730158730159,0.0,1.0,0.0,0.0,0.3,0.0,4.0,3.0,3.0,2.1497961456451442e-05
593,0.0,1.0,0.0,4.0,64.0,0.0,0.85,0.0,50.0,2.0,0.0,14.0,3.0,1.75,6.0,4.5,0.0,1.0,2.16666666666667,0.0,0.333333333333333,0.0,2.0,0.0,2.0,0.003267319113023359
597,59.0,1.0,0.0,11.0,700.0,0.0,3.47,0.0,0.0,1.0,1.0,23.0,1.0,0.88135593220339,0.0,0.423728813559322,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,9.469679096762995e-06
661,6.0,1.0,12.0,2.0,236.0,2.0,0.43,10.0,92.0,2.0,0.0,18.0,3.0,5.09090909090909,1.0,4.23636363636364,1.0,1.0,0.683333333333333,0.0,0.666666666666667,0.0,2.0,1.0,11.0,0.0008008094748115369
682,17.0,2.0,20.0,3.0,505.0,12.0,0.27,0.0,95.0,2.0,1.0,29.0,2.0,5.5929203539823,0.0,6.69026548672566,1.0,1.0,1.25,0.0,0.705882352941177,0.0,1.0,4.0,6.0,7.521223682749323e-06
717,3.0,2.0,4.0,4.0,143.0,4.0,0.24,2.0,88.0,2.0,4.0,34.0,2.0,5.875,1.0,7.3,1.0,1.0,1.4,0.0,0.666666666666667,0.0,3.0,1.0,10.0,0.00044109292264171707
733,2.0,2.0,1.0,12.0,314.0,0.0,0.89,0.0,83.0,1.0,0.0,24.0,1.0,7.125,2.0,6.0,1.0,1.0,1.0,0.0,0.444444444444444,0.0,6.0,1.0,2.0,7.99106952461548e-05
744,19.0,2.0,2.0,8.0,918.0,4.0,0.42,1.0,92.0,3.0,2.0,58.0,2.0,8.4950495049505,0.0,7.76237623762376,1.0,1.0,1.5,0.0,0.387096774193548,7.0,4.0,0.0,14.0,9.352032760201467e-06
749,3.0,6.0,2.0,20.0,161.0,0.0,0.66,3.0,50.0,2.0,0.0,0.0,1.0,3.16666666666667,2.0,8.66666666666667,1.0,1.0,1.11111111111111,0.0,0.5,0.0,1.0,2.0,4.0,0.001170434181177571
771,0.0,1.0,1.0,5.0,66.0,2.0,0.36,1.0,55.0,2.0,2.0,23.0,6.0,7.875,2.0,9.5,2.0,1.0,1.8,0.0,0.3,0.0,4.0,1.0,5.0,0.003719550601798738
777,1.0,2.0,1.0,4.0,45.0,0.0,1.71,1.0,50.0,3.0,0.0,11.0,1.0,4.66666666666667,0.0,8.0,1.0,1.0,2.125,0.0,0.375,0.0,4.0,5.0,2.0,0.00030399048629081715
780,2.0,3.0,1.0,9.0,99.0,0.0,0.41,1.0,67.0,2.0,1.0,22.0,1.0,6.375,1.0,12.5,1.0,1.0,2.2,0.0,0.4,0.0,5.0,0.0,21.0,0.010145917122182935
782,0.0,1.0,0.0,0.0,22.0,2.0,0.38,0.0,0.0,3.0,0.0,11.0,1.0,3.5,1.0,18.1,3.0,1.0,0.833333333333333,0.0,0.25,0.0,3.0,4.0,4.0,0.07811666895030189
784,1.0,1.0,1.0,1.0,46.0,4.0,0.25,0.0,67.0,2.0,6.0,18.0,1.0,6.27272727272727,13.0,5.81818181818182,0.0,1.0,1.46153846153846,0.0,0.2,0.0,3.0,5.0,5.0,0.00991957846489766
787,13.0,1.0,2.0,3.0,568.0,3.0,0.25,0.0,100.0,2.0,6.0,249.0,6.0,5.81528662420382,0.0,6.81528662420382,1.0,0.0,0.914634146341463,0.0,0.306122448979592,7.0,5.0,1.0,21.0,4.677374488404329e-05
788,1.0,2.0,2.0,1.0,32.0,1.0,0.15,1.0,71.0,3.0,0.0,14.0,1.0,2.8,1.0,0.2,1.0,1.0,1.46153846153846,0.0,0.333333333333333,0.0,2.0,0.0,6.0,0.005162674223152863
790,21.0,4.0,1.0,0.0,28.0,1.0,0.02,11.0,97.0,2.0,0.0,15.0,2.0,4.44117647058824,17.0,5.27941176470588,1.0,1.0,2.77464788732394,0.0,0.333333333333333,0.0,5.0,3.0,3.0,0.016679839257822127
792,2.0,1.0,3.0,4.0,189.0,0.0,0.43,0.0,87.0,1.0,0.0,31.0,2.0,7.17647058823529,0.0,5.61764705882353,0.0,1.0,1.05263157894737,0.0,0.9,0.0,5.0,1.0,9.0,0.0004071359517113793
793,20.0,1.0,0.0,5.0,161.0,0.0,3.04,0.0,0.0,2.0,2.0,14.0,1.0,3.51851851851852,0.0,0.518518518518518,0.0,1.0,0.0,0.0,0.583333333333333,0.0,3.0,6.0,1.0,0.00046902589396213834
799,1.0,2.0,1.0,4.0,160.0,5.0,0.43,0.0,74.0,1.0,0.0,15.0,1.0,9.86206896551724,2.0,5.93103448275862,1.0,1.0,1.03225806451613,0.0,0.1,0.0,1.0,3.0,2.0,1.8922243264829497e-05
800,12.0,1.0,5.0,5.0,323.0,0.0,0.59,0.0,90.0,1.0,0.0,26.0,1.0,5.88636363636364,1.0,4.84090909090909,1.0,1.0,1.02173913043478,0.0,0.5,0.0,4.0,1.0,10.0,0.0001586420620131035
805,0.0,1.0,1.0,1.0,40.0,2.0,0.31,0.0,67.0,3.0,0.0,21.0,2.0,3.1,1.0,6.6,1.0,1.0,0.666666666666667,0.0,0.0,0.0,2.0,6.0,5.0,1.053873486067669e-05
809,4.0,1.0,10.0,8.0,313.0,0.0,0.55,2.0,84.0,1.0,0.0,46.0,2.0,6.07142857142857,1.0,9.60714285714286,0.0,1.0,1.1,0.0,0.3,0.0,2.0,1.0,5.0,0.00011626530566433146
812,9.0,2.0,5.0,3.0,371.0,1.0,0.3,0.0,100.0,3.0,1.0,36.0,2.0,6.79411764705882,0.0,6.01470588235294,1.0,0.0,1.4390243902439,0.0,0.5,0.0,2.0,1.0,8.0,8.374900898144855e-05
835,2.0,1.0,2.0,7.0,103.0,0.0,0.84,0.0,74.0,3.0,6.0,6.0,2.0,7.72727272727273,2.0,3.72727272727273,1.0,1.0,0.692307692307692,0.0,0.5,0.0,2.0,2.0,1.0,0.0012263820034088546
842,1.0,1.0,0.0,4.0,46.0,0.0,0.34,0.0,55.0,1.0,0.0,25.0,2.0,2.14285714285714,1.0,11.2857142857143,1.0,1.0,6.5,0.0,0.9,0.0,3.0,4.0,1.0,0.0019364434612232362
853,2.0,2.0,1.0,3.0,66.0,8.0,0.4,0.0,80.0,1.0,2.0,24.0,5.0,4.46153846153846,1.0,5.84615384615385,0.0,1.0,1.17647058823529,0.0,0.545454545454545,0.0,3.0,1.0,3.0,0.0013887774438458012
858,3.0,1.0,1.0,1.0,71.0,0.0,0.17,0.0,77.0,1.0,0.0,11.0,3.0,5.5625,1.0,5.15625,26.0,1.0,0.825,0.0,0.571428571428571,0.0,6.0,4.0,4.0,0.02657251786106496
872,7.0,2.0,1.0,6.0,152.0,1.0,0.41,0.0,71.0,2.0,6.0,13.0,2.0,6.05,0.0,7.45,1.0,1.0,1.16666666666667,0.0,0.285714285714286,0.0,3.0,0.0,7.0,0.00043673516459330486
875,43.0,1.0,13.0,6.0,1645.0,17.0,0.46,1.0,100.0,1.0,4.0,97.0,2.0,10.1880733944954,0.0,6.60091743119266,0.0,0.0,1.03846153846154,4.0,0.327868852459016,8.0,4.0,0.0,23.0,9.5287460094573e-06
877,17.0,1.0,9.0,4.0,932.0,31.0,0.3,0.0,96.0,3.0,2.0,238.0,7.0,6.29411764705882,0.0,8.17058823529412,1.0,1.0,1.3,0.0,0.338461538461538,9.0,3.0,1.0,23.0,1.9219693770500257e-05
880,8.0,1.0,10.0,2.0,423.0,4.0,0.33,0.0,94.0,0.0,1.0,59.0,2.0,4.58823529411765,0.0,6.49019607843137,1.0,1.0,0.906542056074766,0.0,0.4,5.0,5.0,1.0,8.0,4.4354238596833184e-05
890,2.0,1.0,1.0,3.0,109.0,0.0,0.66,0.0,68.0,2.0,0.0,4.0,2.0,0.6,1.0,3.36842105263158,1.0,1.0,0.739130434782609,0.0,0.666666666666667,0.0,5.0,2.0,1.0,0.00018120920374553595
893,16.0,2.0,6.0,4.0,354.0,0.0,0.6,0.0,88.0,2.0,0.0,20.0,2.0,5.78260869565217,0.0,6.10869565217391,1.0,1.0,1.16,0.0,0.25,0.0,6.0,1.0,9.0,9.328199991331942e-05
895,7.0,1.0,5.0,2.0,141.0,0.0,0.3,0.0,87.0,2.0,2.0,19.0,2.0,4.08571428571429,0.0,5.42857142857143,1.0,1.0,1.29268292682927,0.0,0.222222222222222,0.0,4.0,1.0,10.0,0.00046260286558863495
908,2.0,3.0,1.0,2.0,49.0,0.0,0.37,0.0,50.0,1.0,0.0,20.0,2.0,6.0,2.0,15.1,1.0,1.0,2.5,0.0,0.75,0.0,3.0,2.0,1.0,0.0036234229521633354
909,1.0,3.0,2.0,5.0,380.0,1.0,0.33,0.0,96.0,2.0,0.0,35.0,2.0,23.0,0.0,5.88709677419355,1.0,1.0,2.73846153846154,0.0,0.285714285714286,0.0,4.0,0.0,8.0,0.001068922444556586
931,5.0,2.0,2.0,3.0,128.0,0.0,0.26,0.0,100.0,2.0,2.0,23.0,2.0,7.08695652173913,0.0,6.65217391304348,1.0,0.0,1.96666666666667,0.0,0.384615384615385,0.0,2.0,1.0,8.0,0.00047845224708586986
933,11.0,1.0,2.0,8.0,313.0,0.0,0.68,0.0,100.0,2.0,1.0,26.0,2.0,7.07407407407407,0.0,6.96296296296296,1.0,0.0,0.939393939393939,0.0,0.375,0.0,4.0,1.0,8.0,7.336285452097524e-05
934,52.0,1.0,0.0,2.0,191.0,0.0,1.99,0.0,100.0,1.0,1.0,20.0,2.0,2.92307692307692,0.0,0.846153846153846,0.0,1.0,0.0,0.0,0.352941176470588,0.0,2.0,8.0,3.0,0.0014435696653707364
937,11.0,1.0,14.0,3.0,427.0,0.0,0.44,0.0,92.0,1.0,2.0,19.0,1.0,7.58163265306122,0.0,3.90816326530612,1.0,1.0,0.648148148148148,0.0,0.3125,0.0,6.0,1.0,12.0,6.778729461287547e-05
942,4.0,2.0,4.0,5.0,162.0,5.0,0.38,2.0,86.0,2.0,0.0,23.0,4.0,8.70833333333333,0.0,7.20833333333333,1.0,1.0,1.30769230769231,0.0,0.285714285714286,0.0,7.0,1.0,7.0,0.00023167768693022062
948,15.0,1.0,3.0,4.0,400.0,6.0,0.45,0.0,94.0,2.0,2.0,25.0,3.0,5.50819672131148,0.0,5.14754098360656,1.0,1.0,1.109375,0.0,0.263157894736842,0.0,2.0,1.0,8.0,0.00018828032762152613
949,34.0,1.0,0.0,3.0,202.0,0.0,1.8,0.0,100.0,3.0,1.0,7.0,2.0,6.71111111111111,0.0,0.777777777777778,0.0,1.0,0.0,0.0,0.4,0.0,5.0,6.0,6.0,3.832882923593406e-05
953,42.0,1.0,4.0,2.0,322.0,6.0,0.23,0.0,100.0,2.0,3.0,37.0,2.0,5.36708860759494,1.0,6.20253164556962,0.0,1.0,1.27956989247312,0.0,0.391304347826087,3.0,3.0,1.0,10.0,4.2699197097872954e-05
954,36.0,2.0,2.0,6.0,89.0,0.0,0.57,0.0,75.0,1.0,48.0,10.0,2.0,7.63636363636364,2.0,5.81818181818182,1.0,1.0,0.928571428571429,0.0,0.444444444444444,0.0,2.0,6.0,4.0,0.10910001859758989
1724,1.0,1.0,2.0,3.0,54.0,0.0,0.31,11.0,45.0,2.0,0.0,14.0,1.0,5.75,1.0,8.0,2.0,1.0,1.41666666666667,0.0,0.5,0.0,2.0,4.0,2.0,0.013760099430131678
969,0.0,1.0,1.0,5.0,85.0,0.0,0.57,0.0,73.0,1.0,0.0,19.0,2.0,4.66666666666667,2.0,7.0,2.0,1.0,1.14285714285714,0.0,0.5,0.0,3.0,4.0,1.0,0.00019144752328936754
970,0.0,2.0,1.0,5.0,202.0,8.0,0.35,4.0,83.0,2.0,0.0,24.0,2.0,6.52,1.0,8.76,1.0,1.0,1.75862068965517,0.0,0.32,3.0,2.0,0.0,6.0,0.00032947866871502196
976,0.0,2.0,1.0,0.0,55.0,4.0,0.08,0.0,84.0,2.0,0.0,31.0,2.0,2.87037037037037,11.0,4.33333333333333,0.0,1.0,0.96875,0.0,0.0,0.0,2.0,4.0,7.0,0.005381356458901143
1021,4.0,4.0,3.0,1.0,42.0,0.0,0.08,0.0,56.0,2.0,0.0,17.0,1.0,13.4,3.0,19.5,5.0,2.0,2.64285714285714,1.0,0.333333333333333,0.0,2.0,2.0,3.0,0.0028697561682559103
1027,0.0,7.0,2.0,0.0,24.0,0.0,0.11,0.0,62.0,0.0,0.0,14.0,1.0,5.55555555555556,2.0,13.8888888888889,3.0,1.0,2.18181818181818,0.0,0.333333333333333,0.0,1.0,3.0,3.0,0.0029437796609752542
1033,3.0,1.0,2.0,1.0,214.0,0.0,0.19,0.0,94.0,2.0,0.0,69.0,5.0,3.38461538461538,0.0,3.96581196581197,0.0,1.0,0.764705882352941,0.0,0.357142857142857,0.0,4.0,0.0,10.0,0.0005366432827572654
1038,0.0,2.0,6.0,0.0,59.0,0.0,0.22,0.0,82.0,2.0,0.0,26.0,3.0,4.375,0.0,7.5,21.0,1.0,1.1,0.0,0.1,0.0,1.0,3.0,3.0,0.019416761461852672
1039,0.0,2.0,3.0,2.0,131.0,0.0,0.28,0.0,87.0,3.0,0.0,12.0,1.0,5.51162790697674,2.0,4.34883720930233,1.0,1.0,1.59574468085106,0.0,0.5,0.0,2.0,3.0,0.0,0.00020012755963472184
1049,2.0,2.0,10.0,3.0,103.0,0.0,0.2,2.0,100.0,2.0,0.0,11.0,2.0,5.23076923076923,0.0,7.46153846153846,0.0,0.0,1.09375,0.0,0.375,0.0,1.0,0.0,13.0,0.002964569741729872
1071,7.0,1.0,11.0,10.0,98.0,9.0,0.08,0.0,89.0,1.0,2.0,40.0,2.0,6.2125,0.0,6.8375,1.0,0.0,1.27906976744186,0.0,0.25,0.0,2.0,2.0,5.0,0.0029617536690674795
1090,0.0,1.0,2.0,1.0,62.0,0.0,0.31,0.0,83.0,1.0,1.0,13.0,1.0,3.0,1.0,4.22222222222222,14.0,1.0,1.0,0.0,0.714285714285714,0.0,1.0,3.0,2.0,0.008872287514318566
1111,8.0,0.0,8.0,4.0,236.0,0.0,0.55,0.0,90.0,1.0,1.0,9.0,2.0,6.43243243243243,1.0,4.83783783783784,1.0,1.0,0.952380952380952,0.0,0.4,0.0,1.0,0.0,6.0,0.0001325104174305647
1112,2.0,2.0,5.0,7.0,622.0,1.0,0.64,0.0,90.0,2.0,10.0,24.0,2.0,9.2987012987013,0.0,4.79220779220779,0.0,1.0,1.18604651162791,0.0,0.333333333333333,6.0,5.0,1.0,4.0,0.00021464657126679665
1117,57.0,2.0,12.0,2.0,751.0,2.0,0.28,0.0,100.0,3.0,3.0,58.0,2.0,4.91,0.0,5.605,0.0,0.0,0.850678733031674,0.0,0.368421052631579,0.0,4.0,1.0,10.0,4.2167425515104995e-05
1118,0.0,2.0,1.0,7.0,75.0,0.0,11.47,0.0,71.0,1.0,0.0,15.0,1.0,6.0,4.0,5.71428571428571,2.0,1.0,1.44444444444444,0.0,0.6,0.0,3.0,3.0,0.0,0.0063388069171388395
1124,2.0,2.0,2.0,2.0,63.0,6.0,0.25,0.0,100.0,2.0,1.0,12.0,2.0,4.71428571428571,0.0,5.92857142857143,0.0,1.0,1.26315789473684,0.0,0.666666666666667,0.0,2.0,8.0,0.0,0.002133695026629301
1161,2.0,1.0,3.0,3.0,112.0,0.0,0.43,5.0,76.0,2.0,0.0,30.0,2.0,2.41666666666667,0.0,4.95833333333333,1.0,1.0,0.6,0.0,1.0,0.0,2.0,4.0,6.0,0.0006521292830284908
1164,0.0,1.0,3.0,5.0,56.0,0.0,0.36,0.0,66.0,1.0,0.0,25.0,2.0,2.85714285714286,1.0,2.2,1.0,1.0,0.272727272727273,0.0,0.6,0.0,1.0,3.0,5.0,0.0043642818810990525
1165,0.0,1.0,0.0,14.0,82.0,0.0,1.19,0.0,0.0,1.0,0.0,11.0,1.0,6.5,3.0,7.25,2.0,1.0,2.5,0.0,0.428571428571429,0.0,1.0,5.0,0.0,0.0013052205399605166
1167,2.0,1.0,1.0,2.0,183.0,1.0,0.14,2.0,52.0,1.0,0.0,42.0,2.0,2.78333333333333,0.0,9.55,0.0,1.0,1.03030303030303,0.0,0.541666666666667,6.0,4.0,1.0,13.0,0.00013053901884330088
1172,1.0,1.0,6.0,4.0,609.0,0.0,0.16,5.0,72.0,1.0,1.0,71.0,2.0,5.27966101694915,0.0,11.1694915254237,0.0,1.0,0.540983606557377,0.0,0.555555555555556,0.0,4.0,0.0,10.0,4.7183627733593525e-05
1175,0.0,1.0,12.0,5.0,161.0,0.0,0.22,3.0,82.0,3.0,0.0,46.0,0.0,3.33333333333333,7.0,13.1851851851852,1.0,1.0,1.11764705882353,0.0,0.454545454545455,3.0,6.0,4.0,4.0,0.0007517621377096662
1176,0.0,3.0,7.0,3.0,29.0,0.0,0.31,2.0,100.0,1.0,0.0,8.0,1.0,3.66666666666667,1.0,0.2,1.0,1.0,1.2,0.0,0.5,0.0,3.0,3.0,1.0,0.026190914197749215
1213,12.0,1.0,3.0,0.0,49.0,0.0,0.12,0.0,90.0,3.0,0.0,23.0,1.0,2.02325581395349,0.0,3.32558139534884,1.0,1.0,0.333333333333333,0.0,0.5,0.0,5.0,1.0,6.0,0.00022153142869640874
1216,0.0,1.0,9.0,0.0,63.0,0.0,0.06,0.0,96.0,1.0,0.0,25.0,2.0,18.2,0.0,2.90441176470588,1.0,1.0,0.273381294964029,0.0,0.666666666666667,0.0,4.0,3.0,5.0,0.009546217934414902
1217,0.0,1.0,7.0,2.0,34.0,0.0,0.21,0.0,57.0,2.0,0.0,14.0,1.0,3.85714285714286,7.0,5.85714285714286,1.0,1.0,0.8,0.0,0.4,6.0,2.0,3.0,5.0,0.007472803417355123
1218,0.0,2.0,8.0,1.0,40.0,0.0,0.09,2.0,66.0,2.0,0.0,34.0,2.0,4.22222222222222,0.0,9.55555555555556,1.0,1.0,1.22727272727273,0.0,0.2,0.0,4.0,1.0,6.0,0.0010840561810768756
1220,0.0,1.0,3.0,1.0,31.0,0.0,0.44,1.0,55.0,3.0,0.0,10.0,1.0,2.25,1.0,6.0,2.0,1.0,0.714285714285714,0.0,0.428571428571429,0.0,2.0,3.0,3.0,0.0001196544116134346
1221,0.0,1.0,1.0,5.0,48.0,0.0,0.6,1.0,0.0,1.0,0.0,10.0,1.0,1.75,1.0,7.0,1.0,1.0,1.14285714285714,0.0,0.375,0.0,5.0,4.0,4.0,0.002554413837453584
1223,0.0,1.0,7.0,2.0,80.0,0.0,0.29,1.0,82.0,1.0,0.0,24.0,2.0,4.61111111111111,1.0,8.0,1.0,1.0,0.857142857142857,0.0,0.428571428571429,0.0,2.0,2.0,4.0,0.00014400642360845595
1237,0.0,1.0,5.0,1.0,34.0,0.0,0.24,1.0,87.0,1.0,0.0,23.0,1.0,4.42857142857143,1.0,7.57142857142857,2.0,1.0,1.88888888888889,0.0,0.571428571428571,0.0,2.0,9.0,2.0,0.013747004614548808
1238,0.0,1.0,5.0,1.0,31.0,0.0,0.22,1.0,94.0,1.0,0.0,23.0,1.0,3.85714285714286,1.0,7.71428571428571,2.0,1.0,2.22222222222222,0.0,0.6,0.0,1.0,4.0,3.0,0.017370154365542678
1252,1.0,1.0,13.0,5.0,1003.0,1.0,0.59,0.0,97.0,2.0,1.0,62.0,2.0,17.1077844311377,0.0,5.03592814371257,0.0,1.0,0.623595505617977,0.0,0.25,4.0,5.0,1.0,16.0,3.136791037727793e-05
