test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
769,0,24.0,1.0,2.0,15.0,55.0,2.0,282.0,4.0,5.0,2.0,0.2,1.0,96.0,4.0,1.0,35.49914598464966,2.0,4.67708333333333,0.0,7.90625,0.0,1.0,1.11881188118812,0.0,0.2928258049735686,0.0,4.0,15.0,0.6897226708802346,0.3102773291197654,2,152278052593.19745
771,0,4.0,0.0,1.0,0.0,61.0,0.0,55.0,2.0,0.0,0.0,0.12,0.0,0.0,1.0,0.0,15.0,1.0,3.39344262295082,2.0,5.65573770491803,2.0,1.0,0.4375,0.0,0.32737630208333324,0.0,5.0,9.0,0.5578083926078019,0.4421916073921981,1,174845920138.8888
775,0,3.0,0.0,1.0,0.0,2.0,0.0,91.0,2.1171875,2.0,3.0,0.14,0.0,80.0,5.0,2.0,48.0,2.0,2.98648648648649,0.0,4.67567567567568,2.0,1.0,0.346534653465347,0.0,0.539617486338798,0.0,3.0,12.0,0.5085795299828748,0.49142047001712524,1,23882812500000.0
780,0,43.0,0.0,2.0,7.0,73.0,1.0,498.0,6.0,17.0,14.0,0.15,2.0,97.0,3.0,3.0,39.99707245826721,2.0,4.69918699186992,0.0,7.72357723577236,0.0,1.0,1.12252964426877,0.0,0.12497190193369477,2.0,3.0,19.0,0.6035662409425464,0.39643375905745354,2,753260856686.9951
782,0,14.0,0.0,1.0,5.0,197.0,0.0,156.0,6.5,1.0,0.0,0.1,0.0,99.0,4.0,5.0,65.0,2.0,3.46478873239437,1.0,4.72769953051643,1.0,1.0,0.442982456140351,0.0,0.2928495708767076,0.0,4.0,14.0,0.7318290685335955,0.2681709314664044,2,7506900698180.97
788,0,32.0,5.0,1.0,10.0,9.0,1.0,654.0,30.000975370407104,23.0,36.0,0.26,0.0,100.0,4.0,20.0,76.0,2.0,5.726222525040312,0.0,4.2953216374269,1.0,1.0,0.633053221288515,0.0,0.737628384687208,0.0,5.0,15.0,0.5181371270170492,0.48186287298295083,2,16000975370407.105
793,0,10.0,1.0,1.0,6.0,29.0,2.0,270.0,8.0,9.0,0.0,0.45,0.0,100.0,3.0,5.0,31.0,2.0,8.43564356435644,0.0,3.58415841584158,1.0,1.0,0.381818181818182,0.0,0.125,0.0,5.0,10.0,0.5300034168332408,0.46999658316675913,1,675000000000.0
806,0,156.0,16.0,2.0,12.0,57.0,0.0,469.0,4.499634146690369,3.0,18.0,0.07,0.0,100.0,3.0,0.0,54.0,2.0,5.80628272251309,0.0,6.14485165794066,1.0,0.0,0.835334476843911,0.0,0.12498142614343459,4.0,2.0,20.0,0.6653810591728013,0.33461894082719873,2,4514233463088.34
905,0,9.0,0.0,2.0,7.0,2.0,1.0,144.48914551734924,15.0,32.0,23.0,0.25,1.0,100.0,2.0,6.0,43.0,2.0,4.41176470588235,0.0,5.48235294117647,0.0,0.0,1.08910891089109,0.0,0.41839762611276,0.0,4.0,1.08251953125,0.5687709581693601,0.43122904183064,2,12917480468750.0
956,0,27.0,0.0,2.0,5.0,6.0,2.0,297.0,3.0,0.0,13.0,0.27,1.0,89.0,2.0,0.0,18.0,3.0,3.93333333333333,0.0,5.18888888888889,0.0,1.0,1.24468085106383,0.0,0.292724609375,0.0,3.0,5.0,0.8096041981949181,0.19039580180508187,1,707275390625.0
988,0,37.0,4.0,2.0,12.0,47.0,1.0,168.0,6.4993903040885925,0.0,54.0,0.14,0.0,100.0,2.0,5.0,19.0,2.0,4.51960784313725,0.0,4.83333333333333,0.0,0.0,1.02542372881356,0.0,0.12492087141798416,0.0,3.0,6.0,0.7429392435715672,0.2570607564284329,2,8517938892121.252
1016,0,1.0,0.0,1.0,3.0,2.0,3.0,173.444091796875,1.0,0.0,3.0,0.24,1.0,52.0,1.0,0.0,32.0,1.0,4.47572815533981,0.0,9.68932038834951,0.0,1.0,0.123809523809524,0.0,0.337278106508876,0.0,1.0,3.0,0.5133847278014203,0.4866152721985797,1,8.726030891768172
