0,1,2,3,4
"[0, 0.2020709130844054]","[0, 0.2835820895522388]","[0.14285714285714285, 1]","[0, 0.19047619047619047]",
"[0, 0.03200502039535613]","[0, 0.06467661691542288]","[0.14285714285714285, 1]","[0, 0.07936507936507936]",
"[0.006589268904926262, 1]","[0.01990049751243781, 1]","[0.2857142857142857, 1]","[0.007936507936507936, 1]","[0.0, 1]"
"[0, 0.01757138374647003]","[0.03482587064676617, 1]","[0.14285714285714285, 1]","[0.007936507936507936, 1]","[0.1, 1]"
"[0.011609664261060557, 1]","[0.03482587064676617, 1]","[0.14285714285714285, 1]","[0.007936507936507936, 1]","[0.1, 1]"
"[0.02635707561970505, 1]","[0, 0.0845771144278607]","[0, 0.2857142857142857]","[0, 0.05555555555555555]",
"[0.009099466582993411, 1]","[0, 0.04477611940298507]","[0.007936507936507936, 1]","[0.0, 1]",
"[0, 0.07907122685911515]","[0.031746031746031744, 1]","[0, 0.30000000000000004]",,
"[0, 0.04173203639786633]","[0.09523809523809523, 1]","[0, 0.5]",,
"[0, 0.05145905240037653]","[0.0, 1]","[0.0, 1]","[0.0, 1]",
"[0, 0.026043300909946655]","[0.015873015873015872, 1]","[0, 0.30000000000000004]",,
"[0, 0.035770316912456857]","[0, 0.07960199004975124]","[0.0, 1]","[0.1, 1]",
"[0.003765296517100722, 1]","[0.009950248756218905, 1]","[0.2857142857142857, 1]","[0, 0.05555555555555555]","[0.0, 1]"
"[0, 0.017885158456228425]","[0, 0.07462686567164178]","[0.007936507936507936, 1]","[0.1, 1]",
"[0, 0.11986193912770629]","[0.031746031746031744, 1]","[0, 0.2]",,
"[0.01098211484154377, 1]","[0.01990049751243781, 1]","[0.14285714285714285, 1]","[0.0, 1]","[0.1, 1]"
"[0, 0.15469093191088798]","[0.0, 1]","[0.0, 1]","[0.0, 1]",
"[0, 0.2820834640727957]","[0.0, 1]","[0.0, 1]","[0.0, 1]",
"[0, 0.021336680263570756]","[0.009950248756218905, 1]","[0.14285714285714285, 1]","[0.0, 1]","[0.1, 1]"
"[0, 0.04518355820520866]","[0.07936507936507936, 1]","[0, 0.2]",,
"[0, 0.1054283024788202]","[0, 0.16417910447761194]","[0.14285714285714285, 1]","[0, 0.12698412698412698]",
"[0, 0.018826482585503606]","[0.0, 1]","[0.0, 1]","[0.031746031746031744, 1]","[0.0, 1]"
"[0, 0.018826482585503606]","[0.029850746268656716, 1]","[0.0, 1]","[0.015873015873015872, 1]",
"[0, 0.22717288986507686]","[0, 0.38308457711442784]","[0.14285714285714285, 1]","[0, 0.1984126984126984]",
"[0, 0.04424223407593348]","[0, 0.1044776119402985]","[0.2857142857142857, 1]","[0, 0.1111111111111111]",
"[0, 0.04424223407593348]","[0, 0.11940298507462686]","[0.14285714285714285, 1]","[0, 0.1111111111111111]","[0.1, 1]"
"[0, 0.05804832130530279]","[0.07936507936507936, 1]","[0, 0.30000000000000004]",,
"[0, 0.04737998117351742]","[0, 0.09950248756218905]","[0.2857142857142857, 1]","[0, 0.11904761904761904]","[0.1, 1]"
"[0, 0.0997803577031691]","[0, 0.16417910447761194]","[0, 0.14285714285714285]","[0.1, 1]",
"[0, 0.40069030436146846]","[0, 0.5472636815920398]","[0.0, 1]","[0, 0.24603174603174602]",
"[0, 0.1534358330718544]","[0, 0.18407960199004975]","[0.2857142857142857, 1]","[0, 0.2222222222222222]",
"[0.009099466582993411, 1]","[0.014925373134328358, 1]","[0.2857142857142857, 1]","[0.0873015873015873, 1]","[0.0, 1]"
"[0, 0.16222152494508943]","[0, 0.3034825870646766]","[0.2857142857142857, 1]","[0, 0.2222222222222222]",
"[0, 0.11390021964229682]","[0, 0.1990049751243781]","[0.2857142857142857, 1]","[0, 0.14285714285714285]",
"[0, 0.04141826168810794]","[0, 0.07462686567164178]","[0.031746031746031744, 1]","[0.1, 1]",
"[0, 0.3169124568559774]","[0.04477611940298507, 1]","[0.0, 1]","[0, 0.4]",
"[0, 0.048635080012550985]","[0.03980099502487562, 1]","[0.2857142857142857, 1]","[0.047619047619047616, 1]",
"[0, 0.038908064010040794]","[0.03980099502487562, 1]","[0.2857142857142857, 1]","[0.06349206349206349, 1]","[0.1, 1]"
"[0, 0.06463759021022905]","[0.09523809523809523, 1]","[0, 0.4]",,
"[0, 0.276749294006903]","[0, 0.09950248756218905]","[0.0, 1]","[0, 0.05555555555555555]",
"[0, 0.02353310323187951]","[0.03482587064676617, 1]","[0.03968253968253968, 1]","[0.1, 1]",
"[0, 0.02353310323187951]","[0.03482587064676617, 1]","[0.03968253968253968, 1]","[0.1, 1]",
"[0, 0.02353310323187951]","[0.03482587064676617, 1]","[0.03968253968253968, 1]","[0.1, 1]",
"[0, 0.02353310323187951]","[0.03482587064676617, 1]","[0.03968253968253968, 1]","[0.1, 1]",
"[0, 0.15971132726702228]","[0, 0.27860696517412936]","[0.14285714285714285, 1]","[0, 0.07936507936507936]",
"[0, 0.201757138374647]","[0, 0.26865671641791045]","[0.14285714285714285, 1]","[0, 0.14285714285714285]",
"[0, 0.18387197991841858]","[0.031746031746031744, 1]","[0, 0.30000000000000004]",,
"[0, 0.08189519924694069]","[0.03968253968253968, 1]","[0, 0.4]",,
"[0, 0.0997803577031691]","[0, 0.16417910447761194]","[0, 0.2857142857142857]","[0, 0.11904761904761904]",
"[0, 0.27580796987762785]","[0, 0.38308457711442784]","[0, 0.2857142857142857]","[0, 0.1984126984126984]",
"[0.02353310323187951, 1]","[0, 0.17412935323383083]","[0.06349206349206349, 1]",,
"[0, 0.10134923125196107]","[0.0873015873015873, 1]","[0, 0.30000000000000004]",,
"[0, 0.10103545654220268]","[0, 0.24378109452736318]","[0, 0.10317460317460317]","[0.1, 1]",
"[0, 0.10385942893002822]","[0, 0.18407960199004975]","[0.2857142857142857, 1]","[0, 0.14285714285714285]",
"[0, 0.10323187951051144]","[0, 0.1990049751243781]","[0.2857142857142857, 1]","[0, 0.1746031746031746]",
"[0, 0.13335425164731723]","[0.04477611940298507, 1]","[0.14285714285714285, 1]","[0, 0.30000000000000004]",
"[0, 0.04141826168810794]","[0.023809523809523808, 1]","[0, 0.30000000000000004]",,
"[0, 0.14151239410103544]","[0, 0.263681592039801]","[0.14285714285714285, 1]","[0, 0.30952380952380953]",
"[0, 0.030122372136805773]","[0.0, 1]","[0.14285714285714285, 1]","[0.09523809523809523, 1]","[0.1, 1]"
"[0, 0.15092563539378726]","[0, 0.14427860696517414]","[0, 0.2857142857142857]","[0, 0.15873015873015872]",
"[0, 0.05804832130530279]","[0, 0.15920398009950248]","[0.14285714285714285, 1]","[0, 0.3412698412698413]",
"[0, 0.018826482585503606]","[0.01990049751243781, 1]","[0.03968253968253968, 1]","[0.0, 1]",
"[0.016002510197678066, 1]","[0.009950248756218905, 1]","[0.0, 1]","[0.0, 1]",
"[0, 0.026984625039221836]","[0.009950248756218905, 1]","[0.2857142857142857, 1]","[0.0873015873015873, 1]","[0.1, 1]"
"[0, 0.019767806714778787]","[0.0, 1]","[0.14285714285714285, 1]","[0.015873015873015872, 1]","[0.1, 1]"
"[0, 0.10323187951051144]","[0.05472636815920398, 1]","[0.2857142857142857, 1]","[0, 0.4]",
"[0, 0.1048007530593034]","[0.06467661691542288, 1]","[0.2857142857142857, 1]","[0, 0.4]",
"[0, 0.3228741763413869]","[0, 0.29850746268656714]","[0.14285714285714285, 1]","[0, 0.2777777777777778]",
"[0, 0.7219956071540633]","[0, 0.8955223880597015]","[0.2857142857142857, 1]","[0, 0.18253968253968253]",
"[0, 0.2682773768434264]","[0, 0.2885572139303483]","[0, 0.42857142857142855]","[0, 0.24603174603174602]",
"[0, 0.8051459052400376]","[0, 0.7412935323383084]","[0.2857142857142857, 1]","[0, 0.38095238095238093]",
"[0, 0.23438970818951993]","[0, 0.22388059701492538]","[0, 0.2857142857142857]","[0, 0.12698412698412698]",
"[0, 0.0674615625980546]","[0.07960199004975124, 1]","[0.14285714285714285, 1]","[0.047619047619047616, 1]","[0.1, 1]"
"[0, 0.036397866331973644]","[0.009950248756218905, 1]","[0.14285714285714285, 1]","[0.07142857142857142, 1]","[0.1, 1]"
"[0, 0.043928459366175086]","[0.05472636815920398, 1]","[0.14285714285714285, 1]","[0.07936507936507936, 1]","[0.0, 1]"
"[0, 0.056793222466269215]","[0.004975124378109453, 1]","[0.14285714285714285, 1]","[0, 0.2]",
"[0, 0.021336680263570756]","[0.05555555555555555, 1]","[0, 0.2]",,
"[0, 0.022278004392845933]","[0, 0.07462686567164178]","[0.14285714285714285, 1]","[0, 0.15079365079365079]",
"[0.028867273297772198, 1]","[0.01990049751243781, 1]","[0.07142857142857142, 1]","[0, 0.30000000000000004]",
"[0, 0.04141826168810794]","[0.014925373134328358, 1]","[0.2857142857142857, 1]","[0.007936507936507936, 1]","[0.1, 1]"
"[0, 0.13053027925949168]","[0, 0.21393034825870647]","[0.14285714285714285, 1]","[0, 0.15873015873015872]","[0.1, 1]"
"[0, 0.3429557577659241]","[0.0, 1]","[0.14285714285714285, 1]","[0, 0.2]",
"[0, 0.019767806714778787]","[0.0, 1]","[0, 0.15079365079365079]","[0.1, 1]",
"[0, 0.13398180106683402]","[0, 0.14925373134328357]","[0.14285714285714285, 1]","[0, 0.3333333333333333]",
"[0.016630059617194853, 1]","[0, 0.03980099502487562]","[0.2857142857142857, 1]","[0, 0.2]",
"[0, 0.04173203639786633]","[0, 0.13432835820895522]","[0.14285714285714285, 1]","[0, 0.10317460317460317]",
"[0, 0.019767806714778787]","[0.004975124378109453, 1]","[0.14285714285714285, 1]","[0.0873015873015873, 1]",
"[0, 0.02008158142453718]","[0.009950248756218905, 1]","[0.2857142857142857, 1]","[0, 0.2]",
"[0, 1.0680891120175713]","[0, 0.681592039800995]","[0.14285714285714285, 1]","[0, 1.0158730158730158]",
"[0, 0.10825227486664574]","[0.02487562189054726, 1]","[0.14285714285714285, 1]","[0, 0.7000000000000001]",
"[0, 0.018826482585503606]","[0, 0.03980099502487562]","[0, 0.42857142857142855]","[0, 0.15079365079365079]",
"[0, 0.058362096015061184]","[0.03980099502487562, 1]","[0.2857142857142857, 1]","[0, 0.30000000000000004]",
"[0, 0.06463759021022905]","[0.01990049751243781, 1]","[0, 0.1984126984126984]","[0.1, 1]",
"[0, 0.025415751490429867]","[0.04477611940298507, 1]","[0, 0.14285714285714285]","[0.1, 1]",
"[0, 0.03294634452463131]","[0.04477611940298507, 1]","[0, 0.14285714285714285]","[0.1, 1]",
"[0, 0.04173203639786633]","[0.014925373134328358, 1]","[0.2857142857142857, 1]","[0, 0.2]",
"[0, 0.0712268591151553]","[0.01990049751243781, 1]","[0, 0.1984126984126984]","[0.1, 1]",
"[0, 0.031063696266080954]","[0.01990049751243781, 1]","[0.2857142857142857, 1]","[0, 0.2]",
"[0, 0.13366802635707561]","[0.004975124378109453, 1]","[0.14285714285714285, 1]","[0, 0.30000000000000004]",
"[0, 0.06526513962974584]","[0, 0.06467661691542288]","[0, 0.5714285714285714]","[0, 0.2222222222222222]",
"[0, 0.03765296517100722]","[0, 0.05472636815920398]","[0, 0.5714285714285714]","[0, 0.19047619047619047]",
"[0, 0.04894885472230938]","[0.03482587064676617, 1]","[0, 0.1349206349206349]","[0.1, 1]",
"[0, 0.05334170065892689]","[0, 0.07462686567164178]","[0, 0.42857142857142855]","[0, 0.1111111111111111]",
"[0, 0.11578286790084717]","[0, 0.1044776119402985]","[0, 0.42857142857142855]","[0, 0.19047619047619047]",
"[0, 0.19108879824286162]","[0, 0.1691542288557214]","[0, 0.7142857142857142]","[0, 0.23809523809523808]",
"[0, 0.10731095073737056]","[0, 0.42857142857142855]","[0, 0.2777777777777778]",,
"[0.014433636648886097, 1]","[0.03482587064676617, 1]","[0.06349206349206349, 1]","[0, 0.30000000000000004]",
"[0.011609664261060557, 1]","[0.03482587064676617, 1]","[0.06349206349206349, 1]","[0, 0.2]",
"[0, 0.04737998117351742]","[0, 0.42857142857142855]","[0, 0.15079365079365079]",,
"[0, 0.08471917163476622]","[0, 0.05472636815920398]","[0, 0.42857142857142855]","[0, 0.23015873015873015]",
"[0, 0.1493567618449953]","[0, 0.17412935323383083]","[0, 0.42857142857142855]","[0, 0.2222222222222222]",
"[0, 0.08283652337621587]","[0, 0.27860696517412936]","[0.2857142857142857, 1]","[0, 0.2857142857142857]",
"[0, 0.07561970505177282]","[0.009950248756218905, 1]","[0, 0.15079365079365079]","[0.1, 1]",
"[0, 0.0856604957640414]","[0, 0.04975124378109452]","[0, 0.42857142857142855]","[0, 0.20634920634920634]",
"[0, 0.04110448697834954]","[0, 0.04477611940298507]","[0, 0.42857142857142855]","[0, 0.1111111111111111]",
"[0, 0.03326011923438971]","[0, 0.5714285714285714]","[0, 0.15079365079365079]",,
"[0, 0.0433009099466583]","[0, 0.03980099502487562]","[0, 0.5714285714285714]","[0, 0.2698412698412698]",
"[0, 0.08879824286162534]","[0, 0.5714285714285714]","[0, 0.21428571428571427]",,
"[0, 0.03922183871979919]","[0, 0.7142857142857142]","[0, 0.19047619047619047]",,
"[0, 0.15782867900847192]","[0, 0.07960199004975124]","[0, 0.5714285714285714]","[0, 0.4126984126984127]",
"[0, 0.1352368999058676]","[0.0, 1]","[0.14285714285714285, 1]","[0, 0.2]",
"[0, 0.47787888296203324]","[0, 0.24875621890547264]","[0, 0.5714285714285714]","[0, 0.5396825396825397]",
"[0, 0.1879510511452777]","[0, 0.14925373134328357]","[0, 0.2777777777777778]","[0.1, 1]",
"[0, 0.08817069344210855]","[0, 0.08955223880597014]","[0, 0.5714285714285714]","[0, 0.15873015873015872]",
"[0, 0.15469093191088798]","[0, 0.31343283582089554]","[0, 0.42857142857142855]","[0, 0.30952380952380953]",
"[0, 0.14276749294006902]","[0, 0.16417910447761194]","[0, 0.5714285714285714]","[0, 0.4603174603174603]",
"[0, 0.1550047066206464]","[0, 0.7142857142857142]","[0, 0.4126984126984127]",,
"[0, 0.08346407279573266]","[0, 0.05472636815920398]","[0, 0.8571428571428571]","[0, 0.19047619047619047]",
"[0, 0.06118606840288673]","[0, 0.0945273631840796]","[0, 0.2857142857142857]","[0, 0.24603174603174602]",
"[0, 0.10260433009099465]","[0.03482587064676617, 1]","[0, 0.2222222222222222]","[0.1, 1]",
"[0, 0.10291810480075304]","[0, 0.7142857142857142]","[0, 0.373015873015873]",,
"[0, 0.04267336052714151]","[0, 0.8571428571428571]","[0, 0.21428571428571427]",,
"[0.020395356134295575, 1]","[0, 0.07960199004975124]","[0, 0.7142857142857142]","[0, 0.1111111111111111]",
"[0, 0.23909632883589582]","[0, 0.1144278606965174]","[0, 0.7142857142857142]","[0, 0.373015873015873]",
"[0.012237213680577345, 1]","[0.014925373134328358, 1]","[0.09523809523809523, 1]","[0, 0.30000000000000004]",
"[0, 0.10134923125196107]","[0, 0.5714285714285714]","[0, 0.19047619047619047]",,
"[0, 0.10825227486664574]","[0, 0.07462686567164178]","[0, 0.42857142857142855]","[0, 0.2222222222222222]",
"[0, 0.030436146846564167]","[0, 0.5714285714285714]","[0, 0.15873015873015872]",,
"[0, 0.02353310323187951]","[0, 0.0845771144278607]","[0.2857142857142857, 1]","[0, 0.14285714285714285]",
"[0, 0.3448384060244744]","[0, 0.10945273631840796]","[0.14285714285714285, 1]","[0, 0.2222222222222222]",
"[0, 0.06401004079071226]","[0, 0.05970149253731343]","[0, 0.5714285714285714]","[0, 0.23809523809523808]",
"[0, 0.053655475368685285]","[0.02487562189054726, 1]","[0, 0.1349206349206349]","[0.1, 1]",
"[0, 0.18355820520866017]","[0, 0.16417910447761194]","[0.2857142857142857, 1]","[0, 0.1984126984126984]","[0.1, 1]"
"[0, 0.4063382491371195]","[0, 0.16417910447761194]","[0, 0.42857142857142855]","[0, 0.3968253968253968]",
"[0.011609664261060557, 1]","[0.009950248756218905, 1]","[0.2857142857142857, 1]","[0, 0.14285714285714285]",
"[0, 0.24819579541888925]","[0, 0.1791044776119403]","[0, 0.7142857142857142]","[0, 0.3571428571428571]",
"[0, 0.17351741449639158]","[0, 0.23880597014925373]","[0.14285714285714285, 1]","[0, 0.3333333333333333]",
"[0, 0.20960150611860684]","[0, 0.31840796019900497]","[0, 0.42857142857142855]","[0, 0.2698412698412698]",
"[0, 0.43300909946658295]","[0, 0.3681592039800995]","[0, 0.42857142857142855]","[0, 0.5]",
"[0, 0.28145591465327896]","[0, 0.26865671641791045]","[0, 0.2857142857142857]","[0, 0.46825396825396826]",
"[0, 0.10354565422026983]","[0, 0.1044776119402985]","[0, 0.5714285714285714]","[0, 0.2857142857142857]",
"[0, 0.2598054596799498]","[0, 0.1791044776119403]","[0, 0.42857142857142855]","[0, 0.3492063492063492]",
"[0, 0.19830561656730467]","[0, 0.07462686567164178]","[0, 0.7142857142857142]","[0, 0.25396825396825395]",
"[0.014119861939127704, 1]","[0.014925373134328358, 1]","[0, 0.1111111111111111]","[0, 0.2]",
"[0, 0.08754314402259177]","[0, 0.11940298507462686]","[0, 0.5714285714285714]","[0, 0.1746031746031746]",
"[0, 0.08409162221524943]","[0, 0.5714285714285714]","[0, 0.30158730158730157]",,
"[0, 0.02353310323187951]","[0, 0.03980099502487562]","[0.06349206349206349, 1]","[0.1, 1]",
"[0, 0.2936931283338563]","[0, 0.0945273631840796]","[0, 0.42857142857142855]","[0, 0.38888888888888884]",
"[0, 0.11546909319108879]","[0, 0.13432835820895522]","[0, 0.21428571428571427]","[0.1, 1]",
"[0.012550988390335738, 1]","[0.01990049751243781, 1]","[0, 0.1349206349206349]","[0.1, 1]",
"[0, 0.09727016002510197]","[0, 0.08955223880597014]","[0, 0.42857142857142855]","[0, 0.20634920634920634]",
"[0.01098211484154377, 1]","[0.014925373134328358, 1]","[0, 0.0873015873015873]","[0, 0.2]",
"[0, 0.024788202070913083]","[0, 0.5714285714285714]","[0, 0.1111111111111111]",,
"[0, 0.042987135236899905]","[0, 0.0845771144278607]","[0, 0.5714285714285714]","[0, 0.15873015873015872]",
"[0, 0.11170379667398807]","[0, 0.07462686567164178]","[0, 0.42857142857142855]","[0, 0.20634920634920634]",
"[0, 0.11609664261060557]","[0, 0.04975124378109452]","[0, 0.7142857142857142]","[0, 0.40476190476190477]",
"[0, 0.2202698462503922]","[0, 0.20398009950248755]","[0.2857142857142857, 1]","[0, 0.2857142857142857]",
"[0, 0.08817069344210855]","[0, 0.0945273631840796]","[0, 0.42857142857142855]","[0, 0.14285714285714285]",
"[0, 0.04173203639786633]","[0, 0.42857142857142855]","[0, 0.07142857142857142]",,
"[0, 0.353310323187951]","[0, 0.582089552238806]","[0, 0.2857142857142857]","[0, 0.5079365079365079]",
"[0, 0.07907122685911515]","[0, 0.13930348258706468]","[0.2857142857142857, 1]","[0, 0.16666666666666666]",
"[0, 0.12645120803263257]","[0, 0.06965174129353234]","[0.14285714285714285, 1]","[0, 0.2222222222222222]",
"[0, 0.192971446501412]","[0, 0.03980099502487562]","[0, 0.42857142857142855]","[0, 0.5238095238095237]",
"[0, 0.021336680263570756]","[0, 0.03980099502487562]","[0, 0.06349206349206349]","[0.1, 1]",
"[0, 0.17006589268904926]","[0, 0.44776119402985076]","[0.14285714285714285, 1]","[0, 0.40476190476190477]",
"[0, 0.03420144336366489]","[0, 0.7142857142857142]","[0, 0.1111111111111111]",,
"[0, 0.06840288672732976]","[0, 0.5714285714285714]","[0, 0.38888888888888884]",,
"[0.015061186068402885, 1]","[0.009950248756218905, 1]","[0.2857142857142857, 1]","[0, 0.0873015873015873]","[0.1, 1]"
"[0, 0.04016316284907436]","[0, 0.42857142857142855]","[0, 0.14285714285714285]",,
"[0, 0.038280514590524006]","[0, 0.04477611940298507]","[0, 0.42857142857142855]","[0, 0.11904761904761904]",
"[0, 0.06118606840288673]","[0.0, 1]","[0.14285714285714285, 1]","[0, 0.30000000000000004]",
"[0, 0.04361468465641669]","[0, 0.42857142857142855]","[0, 0.26190476190476186]",,
"[0.009413241292751805, 1]","[0.004975124378109453, 1]","[0, 0.12698412698412698]","[0, 0.30000000000000004]",
"[0.03765296517100722, 1]","[0, 0.05970149253731343]","[0, 0.5714285714285714]","[0, 0.2222222222222222]",
"[0, 0.04581110762472545]","[0, 0.7142857142857142]","[0, 0.14285714285714285]",,
"[0.026043300909946655, 1]","[0.004975124378109453, 1]","[0.2857142857142857, 1]","[0, 0.14285714285714285]","[0.1, 1]"
"[0.01819893316598682, 1]","[0.004975124378109453, 1]","[0, 0.12698412698412698]","[0.1, 1]",
"[0, 0.12613743332287417]","[0, 0.15422885572139303]","[0.14285714285714285, 1]","[0, 0.4206349206349206]",
"[0, 0.07718857860056479]","[0, 0.208955223880597]","[0.14285714285714285, 1]","[0, 0.4126984126984127]",
"[0, 0.030122372136805773]","[0.0, 1]","[0.14285714285714285, 1]","[0, 0.30000000000000004]",
"[0, 0.076561029181048]","[0, 0.5714285714285714]","[0, 0.19047619047619047]",,
"[0, 0.04926262943206777]","[0, 0.5714285714285714]","[0, 0.1984126984126984]",,
"[0, 0.057734546595544396]","[0, 0.42857142857142855]","[0, 0.1746031746031746]",,
"[0, 0.05647944775651082]","[0, 0.04477611940298507]","[0, 0.42857142857142855]","[0, 0.18253968253968253]",
"[0, 0.18983369940382805]","[0, 0.04975124378109452]","[0, 0.42857142857142855]","[0, 0.6349206349206349]",
"[0.016630059617194853, 1]","[0.014925373134328358, 1]","[0, 0.1111111111111111]","[0, 0.30000000000000004]",
"[0, 0.03294634452463131]","[0.029850746268656716, 1]","[0, 0.12698412698412698]","[0.1, 1]",
"[0, 0.037339190461248825]","[0, 0.5714285714285714]","[0, 0.0873015873015873]",,
"[0.0335738939441481, 1]","[0.03980099502487562, 1]","[0, 0.10317460317460317]","[0, 0.2]",
"[0, 0.057734546595544396]","[0.01990049751243781, 1]","[0.07936507936507936, 1]","[0.1, 1]",
"[0, 0.05616567304675243]","[0, 0.0945273631840796]","[0.2857142857142857, 1]","[0, 0.16666666666666666]",
"[0, 0.03922183871979919]","[0, 0.42857142857142855]","[0, 0.11904761904761904]",,
"[0, 0.09162221524945088]","[0, 0.14925373134328357]","[0.14285714285714285, 1]","[0, 0.19047619047619047]",
"[0.024160652651396296, 1]","[0.03482587064676617, 1]","[0, 0.10317460317460317]","[0.1, 1]",
"[0, 0.04989017885158456]","[0, 0.06467661691542288]","[0, 0.42857142857142855]","[0, 0.11904761904761904]",
"[0, 0.05051772827110135]","[0.05970149253731343, 1]","[0.14285714285714285, 1]","[0, 0.30000000000000004]",
