0,1,2,3,4
"[0, 0.044444444444444446]","[0, 0.1095890410958904]","[0, 0.26760563380281693]","[0, 0.07537688442211056]",
"[0, 0.08888888888888889]","[0, 0.13013698630136986]","[0, 0.18309859154929578]","[0, 0.010050251256281407]",
"[0.0, 1]","[0, 0.06164383561643835]","[0, 0.2535211267605634]","[0.0, 1]",
"[0.0, 1]","[0.0, 1]","[0, 0.02512562814070352]","[0.0, 1]",
"[0, 0.17777777777777778]","[0, 0.26712328767123283]","[0, 0.6619718309859155]","[0, 0.35678391959798994]",
"[0.0, 1]","[0, 0.02054794520547945]","[0, 0.23943661971830987]","[0, 0.020100502512562814]","[0.0, 1]"
"[0.0, 1]","[0, 0.0684931506849315]","[0, 0.2112676056338028]","[0, 0.2763819095477387]",
"[0.0, 1]","[0.00684931506849315, 1]","[0, 0.020100502512562814]","[0, 0.5]",
"[0.0, 1]","[0, 0.10273972602739725]","[0, 0.29577464788732394]","[0.25, 1]",
"[0, 0.11111111111111112]","[0, 0.3013698630136986]","[0, 0.5915492957746479]","[0, 0.09547738693467336]",
"[0, 0.044444444444444446]","[0, 0.02054794520547945]","[0, 0.11267605633802817]","[0, 0.020100502512562814]",
"[0.0, 1]","[0.04225352112676056, 1]","[0, 0.271356783919598]","[0.25, 1]",
"[0, 0.044444444444444446]","[0, 0.1095890410958904]","[0, 0.3098591549295775]","[0, 0.20100502512562815]",
"[0.0, 1]","[0.0, 1]","[0, 0.005025125628140704]","[0.25, 1]",
"[0, 0.022222222222222223]","[0.028169014084507043, 1]","[0, 0.020100502512562814]","[0, 0.75]",
"[0, 0.08888888888888889]","[0, 0.13013698630136986]","[0, 0.4366197183098592]",,
"[0, 0.06666666666666667]","[0, 0.0821917808219178]","[0, 0.35211267605633806]","[0, 0.005025125628140704]",
"[0.0, 1]","[0.00684931506849315, 1]","[0, 0.08542713567839195]","[0.25, 1]",
"[0, 0.4444444444444445]","[0, 0.363013698630137]","[0, 0.49295774647887325]","[0, 0.7035175879396985]",
"[0, 0.2]","[0.04794520547945205, 1]","[0, 0.04020100502512563]","[0, 0.75]",
"[0.0, 1]","[0.0273972602739726, 1]","[0, 0.08040201005025126]","[0.0, 1]",
"[0, 0.22222222222222224]","[0.04225352112676056, 1]","[0, 0.12060301507537688]","[0, 0.5]",
"[0, 0.044444444444444446]","[0, 0.23972602739726026]","[0, 0.22535211267605634]","[0, 0.06030150753768844]",
"[0, 0.06666666666666667]","[0, 0.13013698630136986]","[0, 0.08450704225352113]","[0, 0.02512562814070352]",
"[0.0, 1]","[0.0273972602739726, 1]","[0.028169014084507043, 1]","[0, 0.02512562814070352]","[0.0, 1]"
"[0.0, 1]","[0, 0.136986301369863]","[0, 0.6901408450704225]","[0, 0.03015075376884422]",
"[0.0, 1]","[0, 0.0547945205479452]","[0, 0.23943661971830987]","[0, 0.3417085427135678]","[0.0, 1]"
"[0.0, 1]","[0, 0.17123287671232876]","[0, 0.08450704225352113]","[0, 0.22613065326633167]",
"[0.022222222222222223, 1]","[0.0, 1]","[0, 0.005025125628140704]","[0, 0.75]",
"[0.022222222222222223, 1]","[0, 0.14383561643835616]","[0, 0.2112676056338028]","[0, 0.1708542713567839]",
"[0, 0.022222222222222223]","[0.0, 1]","[0, 0.02512562814070352]","[0, 0.75]",
"[0.0, 1]","[0.0, 1]","[0, 0.005025125628140704]","[0, 0.5]",
"[0, 0.022222222222222223]","[0, 0.10273972602739725]","[0, 0.11267605633802817]","[0, 0.03015075376884422]",
"[0, 0.06666666666666667]","[0.04225352112676056, 1]","[0, 0.05527638190954774]","[0, 0.25]",
"[0, 0.11111111111111112]","[0.014084507042253521, 1]","[0, 0.05025125628140704]","[0, 0.5]",
"[0, 0.06666666666666667]","[0, 0.0410958904109589]","[0.014084507042253521, 1]","[0.0, 1]",
"[0.0, 1]","[0.04225352112676056, 1]","[0, 0.05527638190954774]","[0.0, 1]",
"[0.0, 1]","[0, 0.03424657534246575]","[0, 0.16901408450704225]","[0, 0.05025125628140704]",
"[0.0, 1]","[0, 0.0410958904109589]","[0, 0.18309859154929578]","[0, 0.03015075376884422]",
"[0.0, 1]","[0, 0.03424657534246575]","[0, 0.1971830985915493]","[0, 0.04522613065326633]",
"[0.0, 1]","[0, 0.0958904109589041]","[0.056338028169014086, 1]","[0.0, 1]","[0.0, 1]"
"[0.0, 1]","[0.0547945205479452, 1]","[0, 0.02512562814070352]","[0.0, 1]",
"[0, 0.022222222222222223]","[0.0547945205479452, 1]","[0, 0.12060301507537688]","[0, 0.25]",
"[0.0, 1]","[0, 0.13013698630136986]","[0.056338028169014086, 1]","[0.0, 1]",
"[0.0, 1]","[0.056338028169014086, 1]","[0, 0.005025125628140704]","[0, 0.75]",
"[0.0, 1]","[0.00684931506849315, 1]","[0, 0.020100502512562814]","[0.0, 1]",
"[0, 0.044444444444444446]","[0, 0.07534246575342465]","[0, 0.22535211267605634]","[0, 0.24623115577889448]",
"[0, 0.044444444444444446]","[0, 0.06164383561643835]","[0, 0.15492957746478875]","[0, 0.4623115577889447]","[0.0, 1]"
"[0, 0.022222222222222223]","[0, 0.0410958904109589]","[0, 0.1267605633802817]","[0, 0.457286432160804]",
"[0, 0.06666666666666667]","[0.00684931506849315, 1]","[0, 0.06532663316582915]","[0.25, 1]",
"[0.0, 1]","[0, 0.0410958904109589]","[0, 0.11267605633802817]","[0, 0.05527638190954774]","[0.0, 1]"
"[0, 0.11111111111111112]","[0, 0.08904109589041095]","[0, 0.11267605633802817]","[0, 0.020100502512562814]",
"[0, 0.044444444444444446]","[0, 0.02054794520547945]","[0, 0.08450704225352113]","[0, 0.135678391959799]",
"[0.0, 1]","[0.0, 1]","[0, 0.8492462311557789]","[0.0, 1]",
"[0, 0.35555555555555557]","[0, 0.0958904109589041]","[0, 0.11267605633802817]","[0, 0.035175879396984924]","[0.0, 1]"
"[0.022222222222222223, 1]","[0, 0.1506849315068493]","[0, 0.15492957746478875]","[0, 0.01507537688442211]",
"[0, 0.11111111111111112]","[0, 0.14383561643835616]","[0, 0.22535211267605634]","[0, 0.36683417085427134]",
