,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,effort
361,5.0,0.0,1.0,1.0,1.0,5.0,3.0,264.0,6.0,14.0,24.0,27.0,1.0,2.0,3.0,31.0,4.0,0.0,0.0,2.0,0.666666666666667,0.0,1.0,3.0,8.0,0.00013770476319097114
364,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0,2.0,4.0,14.0,26.0,0.0,2.0,0.0,14.0,2.0,1.0,7.0,0.0,0.5,0.0,3.0,2.0,4.0,0.007091534704038893
1800,7.0,0.0,2.0,1.0,10.0,6.0,3.0,285.0,7.0,17.0,29.0,16.0,5.0,4.0,3.0,27.0,2.0,0.0,0.0,0.0,0.5,0.0,1.0,3.0,7.0,0.0006513348274260755
377,3.0,2.0,1.0,0.0,0.0,3.0,2.0,87.0,5.0,6.0,7.0,14.0,2.0,2.0,2.0,16.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,1.5226841877935549e-05
422,0.0,20.0,1.0,0.0,0.0,5.0,1.0,136.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.8,0.0,3.0,2.0,4.0,0.00010759902623824757
454,3.0,0.0,2.0,3.0,10.0,4.0,4.0,73.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.4,0.0,3.0,0.0,1.0,0.0015225043802507
695,0.0,0.0,1.0,1.0,1.0,0.0,1.0,32.0,2.0,7.0,8.0,15.0,0.0,1.0,2.0,15.0,2.0,0.0,1.0,0.0,0.1,0.0,3.0,2.0,2.0,0.0012759049940692657
2414,3.0,0.0,1.0,1.0,0.0,6.0,6.0,103.0,1.0,0.0,12.0,10.0,8.0,2.0,0.0,11.0,2.0,1.0,1.0,0.0,0.8,0.0,2.0,2.0,2.0,0.00017921715991753295
2489,13.0,0.0,1.0,8.0,2.0,0.0,3.0,40.0,4.0,11.0,7.0,19.0,0.0,2.0,0.0,24.0,2.0,0.0,0.0,0.0,0.2,1.0,2.0,2.0,3.0,0.001657793758534254
2513,0.0,0.0,1.0,1.0,0.0,0.0,2.0,37.0,3.0,6.0,11.0,22.0,4.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.428571428571429,0.0,4.0,0.0,2.0,0.009503178492866637
2617,4.0,0.0,1.0,1.0,0.0,1.0,3.0,48.0,2.0,6.0,3.0,6.0,1.0,3.0,0.0,12.0,1.0,1.0,1.0,0.0,0.428571428571429,0.0,3.0,1.0,5.0,0.0017156334660939354
865,1.0,0.0,2.0,1.0,3.0,6.0,4.0,100.0,1.0,7.0,3.0,5.0,2.0,3.0,1.0,19.0,1.0,1.0,1.0,0.0,0.333333333333333,0.0,2.0,2.0,3.0,0.00018937390651629915
2906,0.0,0.0,1.0,1.0,0.0,0.0,1.0,56.0,1.0,1.0,14.0,42.0,0.0,5.0,0.0,14.0,2.0,0.0,1.0,0.0,0.5,0.0,3.0,2.0,1.0,0.0004656488386058921
2911,1.0,0.0,2.0,1.0,3.0,5.0,5.0,95.0,1.0,7.0,3.0,5.0,2.0,3.0,0.0,19.0,1.0,4.0,1.0,0.0,0.428571428571429,0.0,3.0,2.0,6.0,0.0006761074401016032
921,5.0,0.0,1.0,6.0,0.0,1.0,3.0,105.0,3.0,10.0,25.0,51.0,0.0,5.0,0.0,23.0,2.0,0.0,0.0,0.0,0.1,0.0,4.0,1.0,6.0,0.00013587005630621984
923,1.0,0.0,1.0,1.0,1.0,2.0,3.0,44.0,1.0,4.0,2.0,6.0,1.0,3.0,0.0,19.0,2.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,1.0,0.003512196805104839
956,0.0,0.0,2.0,1.0,0.0,5.0,5.0,136.0,1.0,9.0,2.0,11.0,0.0,1.0,0.0,22.0,1.0,2.0,2.0,0.0,0.5,0.0,2.0,2.0,7.0,5.174173695221551e-05
957,0.0,0.0,1.0,1.0,7.0,0.0,1.0,62.0,1.0,4.0,4.0,67.0,0.0,3.0,1.0,16.0,3.0,0.0,1.0,0.0,0.6,0.0,4.0,5.0,5.0,1.6980499784047254e-07
960,2.0,0.0,2.0,0.0,2.0,0.0,1.0,100.0,2.0,7.0,13.0,158.0,0.0,3.0,2.0,35.0,4.0,0.0,1.0,0.0,0.5,0.0,2.0,3.0,7.0,6.843465053907316e-05
987,0.0,0.0,1.0,1.0,0.0,1.0,4.0,25.0,2.0,2.0,2.0,4.0,1.0,4.0,0.0,8.0,2.0,0.0,1.0,0.0,0.5,0.0,3.0,1.0,1.0,0.005210044789049739
3523,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,2.0,1.0,5.0,1.0,0.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,0.9,0.0,1.0,1.0,0.0,0.039518772006327585
