test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
4195,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17.0,1.0,0.0,19.0,51.0,0.0,5.0,2.0,16.0,2.0,0.0,1.7843137254902,1.0,1.0,0.0,1.0,2.0,3.0,0.57,0.43,1
4237,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,49.0,1.0,1.0,18.0,6.0,0.0,5.0,0.0,16.0,2.0,0.0,1.72549019607843,1.0,1.0,0.0,0.5,4.0,3.0,0.55,0.45,1
4637,0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,106.0,1.0,0.0,9.0,176.0,0.0,1.0,2.0,36.0,4.0,0.0,2.54891304347826,1.0,1.0,0.0,0.4,2.0,9.0,0.51,0.49,2
5371,0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,65.0,4.0,7.0,11.0,19.0,1.0,4.0,0.0,4.0,2.0,0.0,6.25925925925926,0.0,1.0,0.0,1.0,2.0,4.0,0.61,0.39,1
5440,0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,71.0,2.0,7.0,9.0,23.0,0.0,2.0,0.0,7.0,2.0,1.0,4.62857142857143,1.0,1.0,0.0,0.0,2.0,5.0,0.53,0.47,1
5522,0,0.0,0.0,1.0,2.0,0.0,4.0,9.0,51.0,1.0,1.0,1.0,6.0,4.0,1.0,0.0,10.0,3.0,1.0,3.33333333333333,1.0,1.0,0.0,1.0,4.0,2.0,0.69,0.31,1
5525,0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,35.0,1.0,7.0,15.0,28.0,0.0,4.0,0.0,6.0,1.0,0.0,3.575,1.0,1.0,0.0,1.0,3.0,3.0,0.6,0.4,1
5528,0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,32.0,1.0,3.0,11.0,30.0,0.0,3.0,0.0,0.0,2.0,0.0,1.48484848484848,0.0,1.0,0.0,0.0,3.0,2.0,0.76,0.24,1
6488,0,10.0,0.0,1.0,4.0,0.0,0.0,2.0,27.0,1.0,2.0,4.0,2.0,0.0,3.0,0.0,5.4500000000000455,1.0,0.0,5.14285714285714,1.0,1.0,0.0,0.5,3.0,2.0,0.59,0.41,1
6739,0,9.0,0.0,1.0,2.0,4.0,1.0,2.0,98.0,3.0,0.0,18.0,34.0,1.0,3.0,0.0,17.0,1.0,0.0,4.39622641509434,0.0,1.0,0.0,0.5,2.0,3.0,0.55,0.45,1
7400,0,16.0,0.0,2.0,0.0,0.0,6.0,5.0,365.0,3.0,0.0,34.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,9.15,1.0,1.0,0.0,0.666666666666667,4.0,0.0,0.57,0.43,1
