,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,effort
662,2.0,0.0,1.0,0.0,2.0,0.0,79.0,23.0,0.0,2.0,0.16,0.0,60.0,33.0,4.0,0.0,43.0,2.0,2.62903225806452,0.0,1.2,2.0,1.0,0.325581395348837,2.0,0.0,0.0,0.0,4.0,7.0,0.0006415126871691657
665,13.0,1.0,36.0,37.0,0.0,0.0,86.0,5.0,3.0,65.0,0.07,0.0,118.0,100.0,1.0,7.0,17.0,2.0,4.26271186440678,0.0,16.0,1.0,0.0,1.9,0.0,124.0,0.53125,0.0,5.0,4.0,0.012258975334475952
667,25.0,0.0,2.0,6.0,43.0,2.0,586.0,5.0,16.0,10.0,0.22,2.0,138.0,97.0,9.0,3.0,54.0,8.0,4.7292817679558,0.0,1.1,1.0,1.0,1.12299465240642,0.0,507.0,0.9,4.0,3.0,12.0,9.869816895469175e-05
668,3.0,0.0,1.0,4.0,34.0,0.0,45.0,18.0,4.0,2.0,2.1,1.0,20.0,100.0,4.0,2.0,37.0,2.0,2.77777777777778,0.0,0.8,1.0,1.0,0.849315068493151,0.0,83.0,0.739130434782609,0.0,6.0,2.0,0.0007875223380858776
669,8.0,0.0,1.0,1.0,116.0,1.0,174.0,8.0,0.0,0.0,3.0,1.0,10.0,100.0,4.0,5.0,60.0,2.0,3.71428571428571,0.0,11.6,1.0,1.0,0.651851851851852,0.0,198.0,0.342857142857143,0.0,6.0,11.0,0.0001760781175176307
680,10.0,1.0,23.0,6.0,29.0,2.0,261.0,8.0,10.0,0.0,0.43,0.0,72.0,100.0,3.0,5.0,30.0,2.0,7.5049504950495,0.0,15.1,1.0,1.0,0.2,0.0,24.0,0.428571428571429,0.0,5.0,9.0,0.0035480887743485345
685,3.0,0.0,1.0,1.0,4.0,0.0,53.0,2.0,0.0,4.0,0.28,9.0,18.0,77.0,3.0,0.0,25.0,2.0,6.22727272727273,0.0,0.2,1.0,1.0,0.48,0.0,69.0,0.727272727272727,0.0,3.0,5.0,0.0031111781012158612
689,42.0,17.0,2.0,11.0,56.0,0.0,155.0,5.0,0.0,7.0,0.09,0.0,70.0,100.0,9.0,0.0,33.0,3.0,5.73015873015873,0.0,9.8,1.0,0.0,1.0530303030303,0.0,156.0,1.0,0.0,3.0,11.0,0.00034322638553874185
692,153.0,20.0,2.0,9.0,44.0,8.0,403.0,7.0,3.0,15.0,0.07,0.0,521.0,100.0,9.0,0.0,49.0,2.0,5.50619469026549,0.0,6.04424778761062,1.0,0.0,0.830715532286213,0.0,1297.0,0.346938775510204,4.0,2.0,0.0,6.241796972161762e-05
696,20.0,2.0,2.0,3.0,14.0,0.0,90.0,5.0,0.0,14.0,0.14,0.0,66.0,90.0,9.0,0.0,16.0,2.0,3.3125,0.0,3.85,0.0,1.0,0.674418604651163,0.0,48.0,1.0,0.0,6.0,8.0,0.0007449314703066312
702,3.0,0.0,1.0,13.0,17.0,0.0,84.0,2.0,2.0,2.0,9.3,1.0,56.0,94.0,8.0,0.0,24.0,2.0,3.08219178082192,0.0,11.1,1.0,1.0,0.552631578947368,0.0,3.0,0.8,0.0,5.0,9.0,0.0033960198379968665
778,2.0,0.0,2.0,6.0,2.0,21.0,189.0,13.0,29.0,21.0,0.21,1.0,72.0,91.0,2.0,5.0,32.0,2.0,4.43243243243243,0.0,12.0,0.0,0.0,1.13636363636364,0.0,240.0,0.321428571428571,0.0,1.0,9.0,0.00203139663242069
817,19.0,1.0,4.0,15.0,22.0,0.0,56.0,6.0,0.0,8.0,8.0,1.0,13.0,92.0,1.0,2.0,6.0,2.0,5.37142857142857,1.0,1.8,1.0,1.0,1.47619047619048,0.0,84.0,0.538461538461538,0.0,3.0,6.0,0.001640345520440234
823,27.0,0.0,2.0,4.0,4.0,2.0,306.0,3.0,0.0,12.0,0.28,1.0,81.0,87.0,2.0,0.0,14.0,3.0,3.94117647058824,0.0,2.1,0.0,1.0,1.30337078651685,0.0,438.0,1.1,0.0,4.0,2.0,1.827922349451061e-05
853,29.0,4.0,13.0,13.0,30.0,1.0,161.0,11.0,0.0,54.0,0.16,0.0,54.0,100.0,2.0,5.0,18.0,2.0,4.15476190476191,0.0,12.5,0.0,0.0,1.13,0.0,135.0,0.392857142857143,0.0,3.0,5.0,0.0016025973609867794
