test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2,dist_mahal_num
884,0,1.0,0.0,2.0,0.0,0.0,14.0,109.0,1.0,0.0,8.0,8.0,0.47,4.0,58.0,4.0,0.0,34.0,1.0,8.11111111111111,0.0,1.0,1.90909090909091,0.0,6.0,0.681318681318681,0.0,2.0,0.52,0.48,2,73000000000000.0,0.4448368013669501
885,0,0.0,0.0,2.0,0.0,0.0,17.0,103.0,1.0,0.0,1.0,9.0,0.61,4.0,75.0,4.0,0.0,19.0,1.0,3.0,1.0,1.0,1.78571428571429,0.0,49.0,0.841121495327103,0.0,3.0,0.53,0.47,10,23537204591879.64,2.628496609838879
898,0,9.0,1.0,1.0,3.0,2.0,11.0,518.0,1.0,9.0,9.0,16.0,0.56,2.0,94.0,4.0,3.0,52.0,1.0,3.60869565217391,0.0,1.0,1.48780487804878,0.0,0.0,0.943217665615142,0.0,2.0,0.5,0.5,6,5000000000000.0,1.4690950346288107
910,0,23.0,1.0,2.0,3.0,1.0,11.0,1538.0,1.0,1.0,9.0,15.0,0.82,4.0,95.0,4.0,0.0,68.0,1.0,3.60869565217391,0.0,1.0,1.34065934065934,0.0,6.0,0.905707196029777,0.0,2.0,0.55,0.45,12,137393595192789.1,6.034102234009902
928,0,1.0,1.0,2.0,0.0,0.0,17.0,159.0,1.0,4.0,1.0,7.0,1.04,4.0,50.0,4.0,0.0,33.0,1.0,5.0,1.0,1.0,1.77777777777778,0.0,9.0,0.98874296435272,0.0,1.0,0.53,0.47,8,294001700675353.25,3.60166824292065
929,0,6.0,2.0,1.0,3.0,1.0,19.0,310.0,1.0,1.0,8.0,9.0,0.82,3.0,85.0,5.0,0.0,47.0,1.0,3.60869565217391,0.0,1.0,1.12,0.0,6.0,0.849519743863394,0.0,5.0,0.5,0.5,7,4690415759823.43,1.546184387194372
940,0,3.0,0.0,2.0,0.0,0.0,36.0,338.0,1.0,0.0,2.0,5.0,0.79,13.0,75.0,4.0,0.0,24.0,1.0,5.5,1.0,2.0,1.5,0.0,6.0,0.856115107913669,0.0,2.0,0.5,0.5,4,973000000000000.0,3.041842174589724
962,0,0.0,1.0,2.0,3.0,1.0,9.0,219.0,1.0,0.0,8.0,12.0,0.82,2.0,90.0,4.0,0.0,30.0,2.0,2.8,0.0,0.0,1.68181818181818,0.0,6.0,0.944356120826709,0.0,2.0,0.58,0.42,6,21424285285628.55,2.725900790303437
966,0,0.0,3.0,3.0,0.0,0.0,21.0,186.0,1.0,0.0,1.0,5.0,0.74,3.0,75.0,5.0,0.0,17.0,1.0,4.0,1.0,1.0,2.2,0.0,6.0,0.87037037037037,0.0,1.0,0.78,0.22,1,52000000000000.0,0.16133860968514324
993,0,6.0,6.0,2.0,0.0,0.0,25.0,310.0,1.0,1.0,7.0,15.0,1.78,2.0,89.0,5.0,0.0,32.0,1.0,3.60869565217391,0.0,1.0,1.12,0.0,6.0,0.466848319709355,0.0,2.0,0.58,0.42,9,176088046158732.75,5.615101024733942
1030,0,6.0,1.0,2.0,3.0,1.0,20.0,385.0,1.0,2.0,8.0,10.0,0.82,5.0,88.0,5.0,0.0,51.0,1.0,3.60869565217391,0.0,1.0,1.73684210526316,0.0,6.0,0.822495606326889,0.0,2.0,0.54,0.46,5,2828427124746.19,2.6052851470116334
1033,0,0.0,12.0,1.0,4.0,0.0,10.0,198.0,1.0,0.0,0.0,34.0,2.0,0.0,100.0,2.0,19.0,36.0,1.0,1.08571428571429,0.0,0.0,0.0,0.0,120.0,0.88031914893617,0.0,5.0,0.51,0.49,12,7874007874011.812,5.023023487561069
1083,0,0.0,3.0,3.0,0.0,2.0,31.0,210.0,1.0,3.0,0.0,0.0,1.4,1.0,0.0,1.0,12.0,23.0,2.0,7.33333333333333,4.0,1.0,3.375,0.0,1.0,0.928746928746929,0.0,2.0,0.6,0.4,2,1.118033988749895,1.2305686909920046
1116,0,0.0,0.0,2.0,0.0,0.0,15.0,105.0,1.0,4.0,10.0,7.0,0.59,1.0,73.0,1.0,2.0,15.0,1.0,4.5,1.0,0.0,1.875,0.0,0.0,0.784860557768924,0.0,3.0,0.5,0.5,4,2000000000000.0,0.7964057767076775
1202,0,1.0,0.0,2.0,4.0,0.0,10.0,28.0,1.0,0.0,6.0,7.0,0.31,2.0,80.0,3.0,0.0,8.0,2.0,3.875,0.0,1.0,1.43333333333333,0.0,10.0,0.687707641196013,0.0,5.0,0.54,0.46,10,12649110640673.518,2.755532165105038
1214,0,6.0,1.0,2.0,0.0,0.0,11.0,594.0,1.0,6.0,9.0,14.0,0.82,3.0,87.0,4.0,2.0,28.0,3.0,3.60869565217391,0.0,1.0,1.92,0.0,6.0,0.875085324232082,0.0,2.0,0.5,0.5,6,117068356100186.17,3.0862309726915407
1239,0,4.0,1.0,2.0,0.0,0.0,13.0,176.0,1.0,1.0,4.0,8.0,0.66,5.0,71.0,1.0,0.0,23.0,2.0,5.0,0.0,1.0,1.46153846153846,0.0,1.0,0.901294498381877,0.0,2.0,0.5,0.5,9,2645751311064.591,1.4746055524851651
1253,0,4.0,1.0,1.0,0.0,0.0,22.0,990.0,1.0,8.0,4.0,9.0,0.81,6.0,87.0,2.0,1.0,39.0,2.0,8.74358974358974,0.0,0.0,1.60975609756098,0.0,6.0,0.983034872761546,0.0,2.0,0.56,0.44,8,62217360921209.12,4.804586457823295
1334,0,1.0,0.0,1.0,1.0,1.0,1.0,28.0,1.0,10.0,6.0,7.0,0.85,3.0,84.0,2.0,1.0,15.0,2.0,4.08695652173913,0.0,0.0,1.32,0.0,10.0,0.570184983677911,0.0,3.0,0.51,0.49,9,3605551275463.9893,3.2403268019510496
1374,0,6.0,7.0,2.0,0.0,0.0,13.0,166.0,1.0,10.0,6.0,5.0,0.45,6.0,90.0,3.0,0.0,19.0,2.0,5.6,1.0,2.0,2.2,0.0,6.0,0.615776081424936,0.0,1.0,0.6,0.4,7,7280109889280.519,5.409732382981359
1401,0,5.0,0.0,1.0,10.0,0.0,10.0,258.0,1.0,0.0,12.0,11.0,0.65,4.0,87.0,1.0,0.0,5.0,1.0,7.4,1.0,1.0,1.8,0.0,1.0,0.563492063492063,0.0,2.0,0.5,0.5,11,5099019513592.785,1.718009591781731
2029,0,0.0,4.0,1.0,0.0,1.0,6.0,53.0,1.0,0.0,0.0,0.0,0.45,3.0,0.0,3.0,0.0,14.0,1.0,1.0,1.0,2.0,1.6,0.0,22.0,0.710843373493976,0.0,5.0,0.56,0.44,5,4123105625617.6606,1.036317946042498
1587,0,0.0,0.0,1.0,0.0,1.0,10.0,43.0,1.0,0.0,1.0,1.0,1.24,6.0,0.0,3.0,0.0,46.0,1.0,3.2,1.0,2.0,1.8,0.0,169.0,0.534883720930233,2.0,3.0,0.52,0.48,5,90005555384098.38,0.7971766626290059
1608,0,4.0,0.0,1.0,3.0,7.0,10.0,134.0,1.0,6.0,0.0,1.0,0.46,10.0,83.0,1.0,0.0,3.0,1.0,5.625,0.0,0.0,1.4,0.0,31.0,0.734390485629336,0.0,2.0,0.5,0.5,12,20832666655999.66,1.89235525838049
1648,0,0.0,4.0,1.0,0.0,0.0,11.0,53.0,1.0,0.0,0.0,0.0,0.65,4.0,0.0,3.0,1.0,55.0,1.0,1.0,3.0,2.0,1.375,0.0,76.0,0.63265306122449,4.0,5.0,0.5,0.5,8,4358898943540.6733,1.3119217123917133
1808,0,5.0,0.0,1.0,1.0,0.0,3.0,126.0,7.0,5.0,4.0,18.0,0.33,0.0,83.0,2.0,21.0,7.0,2.0,5.92,0.0,1.0,0.46875,0.0,182.0,0.313157894736842,0.0,0.0,0.53,0.47,10,124747745470609.61,3.3725584336373458
1813,0,3.0,1.0,1.0,7.0,29.0,13.0,444.0,1.0,0.0,1.0,6.0,0.16,2.0,95.0,1.0,0.0,1.0,1.0,5.52380952380952,1.0,1.0,1.38709677419355,0.0,6.0,0.725183823529412,0.0,5.0,0.59,0.41,5,441000000000000.0,3.406565561364892
