,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,effort
37,0.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,5.0,11.0,0.99,0.0,72.0,2.0,0.0,12.0,1.0,2.72727272727273,1.0,4.09090909090909,1.0,1.0,3.3,347.0,0.357142857142857,0.0,5.0,2.0,3.813346530978645e-05
1360,5.0,2.0,2.0,7.0,3.0,4.0,4.0,0.0,18.0,11.0,0.59,0.0,69.0,3.0,0.0,8.0,1.0,4.44444444444444,1.0,4.38888888888889,1.0,1.0,3.6,490.0,0.1,0.0,3.0,6.0,1.3631590440876806e-05
42,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,9.0,0.25,0.0,76.0,3.0,2.0,8.0,1.0,4.0,1.0,7.16666666666667,1.0,1.0,5.1,229.0,0.333333333333333,0.0,3.0,2.0,0.00014801129177066663
44,0.0,0.0,2.0,3.0,1.0,1.0,4.0,1.0,10.0,10.0,2.43,0.0,75.0,4.0,2.0,3.0,1.0,3.36363636363636,0.0,3.27272727272727,1.0,0.0,0.882352941176471,244.0,0.375,0.0,4.0,0.0,2.9339475638656687e-05
48,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,6.0,13.0,4.0,0.0,72.0,2.0,1.0,11.0,1.0,3.69230769230769,1.0,4.0,1.0,1.0,0.5,364.0,0.363636363636364,0.0,6.0,1.0,3.546098441387091e-05
63,0.0,0.0,1.0,1.0,0.0,8.0,2.0,0.0,5.0,10.0,0.82,0.0,70.0,2.0,1.0,9.0,1.0,5.2,2.0,1.8,2.0,1.0,1.42857142857143,361.0,0.333333333333333,0.0,3.0,1.0,8.853637072492315e-05
65,0.0,0.0,1.0,2.0,0.0,5.0,3.0,0.0,4.0,6.0,0.81,0.0,66.0,2.0,0.0,10.0,1.0,3.5,2.0,5.0,2.0,1.0,0.545454545454545,452.0,0.1,0.0,4.0,4.0,1.9385403293714631e-07
72,3.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,15.0,8.0,0.55,1.0,78.0,4.0,0.0,5.0,1.0,5.81818181818182,11.0,6.36363636363636,1.0,1.0,1.30769230769231,455.0,0.5,0.0,3.0,2.0,0.00019187224214534115
73,7.0,0.0,1.0,7.0,0.0,2.0,10.0,0.0,35.0,58.0,4.43,1.0,86.0,3.0,3.0,14.0,5.0,2.84615384615385,0.0,3.61538461538462,0.0,1.0,0.539473684210526,1173.0,0.384615384615385,0.0,1.0,6.0,8.523600390386576e-06
82,0.0,9.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,1.08,0.0,0.0,4.0,0.0,2.0,1.0,1.0,1.0,1.6,1.0,1.0,0.0,133.0,0.428571428571429,1.0,2.0,1.0,0.0022998323428943257
85,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.39,0.0,0.0,4.0,0.0,3.0,1.0,2.0,0.0,11.0,1.0,1.0,0.0,833.0,0.428571428571429,0.0,2.0,2.0,0.0006501285288612602
86,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,14.0,7.58,0.0,0.0,4.0,0.0,10.0,1.0,4.14285714285714,1.0,3.85714285714286,2.0,1.0,0.235294117647059,312.0,0.285714285714286,0.0,3.0,1.0,0.00028460545953634675
89,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.83,0.0,87.0,1.0,0.0,4.0,1.0,1.0,0.0,2.2,1.0,1.0,0.0,124.0,0.428571428571429,0.0,2.0,1.0,0.00019544429724305257
90,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,0.5,0.0,0.0,4.0,0.0,4.0,1.0,2.0,0.0,2.9,1.0,1.0,0.545454545454545,167.0,0.5,0.0,5.0,1.0,7.180152327146416e-05
92,0.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,7.0,1.2,0.0,0.0,4.0,0.0,3.0,1.0,1.0,1.0,1.71428571428571,1.0,1.0,1.5,267.0,0.5,0.0,1.0,2.0,1.5723200939343762e-05
94,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.54,0.0,0.0,4.0,0.0,8.0,1.0,2.0,1.0,5.5,5.0,1.0,0.75,79.0,1.1,0.0,2.0,2.0,3.8297097650685785e-05
95,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,14.51,5.0,0.0,4.0,0.0,2.0,1.0,1.0,10.0,2.33333333333333,2.0,1.0,0.0,261.0,0.333333333333333,0.0,3.0,3.0,0.0020393360509673997
101,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,0.3,0.0,0.0,4.0,0.0,10.0,1.0,1.8,0.0,1.2,1.0,1.0,0.416666666666667,161.0,0.4,0.0,3.0,0.0,0.0013957207871410082
104,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,0.27,0.0,91.0,4.0,0.0,4.0,1.0,1.5,0.0,2.125,1.0,1.0,0.0,228.0,0.428571428571429,0.0,5.0,0.0,3.3113116807537146e-05
110,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,7.0,12.0,5.02,0.0,68.0,4.0,0.0,24.0,1.0,3.13333333333333,1.0,4.46666666666667,2.0,1.0,0.263157894736842,252.0,0.333333333333333,0.0,3.0,2.0,0.0001676591936473626
114,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,13.0,0.3,1.0,75.0,4.0,0.0,30.0,1.0,2.53333333333333,0.0,4.53333333333333,1.0,1.0,2.7,334.0,0.363636363636364,0.0,3.0,2.0,2.296993486794463e-05
115,1.0,0.0,1.0,22.0,1.0,0.0,2.0,2.0,6.0,12.0,0.07,0.0,87.0,4.0,0.0,12.0,1.0,4.53333333333333,1.0,3.66666666666667,1.0,1.0,0.277777777777778,378.0,0.0,0.0,4.0,2.0,6.067990168112658e-07
116,11.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,8.0,8.0,2.63,4.0,33.0,4.0,0.0,24.0,3.0,4.05263157894737,0.0,6.78947368421053,1.0,1.0,0.227272727272727,829.0,0.3,0.0,3.0,2.0,7.184818032746065e-06
120,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.66,1.0,0.0,4.0,0.0,8.0,1.0,1.125,1.0,2.0,2.0,1.0,0.0,222.0,0.375,0.0,3.0,3.0,0.0002526906361474124
133,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,6.0,0.38,0.0,75.0,4.0,0.0,5.0,0.0,3.14285714285714,1.0,4.57142857142857,2.0,1.0,3.3,153.0,0.333333333333333,0.0,4.0,2.0,0.00010762948565790076
134,0.0,1.0,6.0,3.0,2.0,4.0,3.0,0.0,4.0,6.0,0.86,0.0,100.0,2.0,0.0,9.0,1.0,5.28571428571429,2.0,4.85714285714286,1.0,1.0,0.818181818181818,263.0,0.333333333333333,0.0,8.0,2.0,0.00038365483736380046
149,0.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,5.0,3.0,0.58,1.0,44.0,2.0,0.0,10.0,1.0,3.66666666666667,2.0,6.66666666666667,2.0,1.0,0.0,17.0,0.285714285714286,0.0,3.0,4.0,0.0008089611811198383
160,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.33,2.0,66.0,5.0,0.0,15.0,2.0,4.0,3.0,8.33333333333333,7.0,1.0,5.0,145.0,0.333333333333333,0.0,1.0,3.0,0.00034825436671870325
265,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,5.0,4.04,3.0,100.0,2.0,4.0,26.0,1.0,11.4285714285714,1.0,11.4285714285714,4.0,1.0,0.888888888888889,23.0,0.833333333333333,0.0,2.0,0.0,0.0006097170888619274
291,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,6.0,12.0,9.12,0.0,53.0,1.0,0.0,20.0,2.0,10.1538461538462,2.0,3.53846153846154,1.0,1.0,0.375,175.0,0.5,0.0,1.0,2.0,0.0010905793548162679
297,1.0,0.0,1.0,6.0,0.0,1.0,3.0,24.0,23.0,7.0,4.62,0.0,93.0,4.0,7.0,19.0,1.0,5.39393939393939,1.0,3.24242424242424,1.0,1.0,0.405405405405405,372.0,0.375,0.0,1.0,3.0,6.784233225209935e-05
324,0.0,1.0,1.0,0.0,8.0,5.0,3.0,0.0,4.0,10.0,0.3,0.0,12.0,3.0,0.0,9.0,2.0,4.27272727272727,2.0,1.6,2.0,1.0,0.933333333333333,54.0,0.333333333333333,0.0,4.0,5.0,0.0013387821473551664
326,8.0,1.0,2.0,1.0,0.0,4.0,3.0,0.0,8.0,13.0,0.31,1.0,83.0,3.0,0.0,30.0,1.0,3.22727272727273,1.0,6.22727272727273,1.0,1.0,1.33333333333333,406.0,0.1,2.0,3.0,3.0,7.47719291704918e-07
328,7.0,5.0,1.0,5.0,2.0,1.0,34.0,4.0,36.0,90.0,0.12,3.0,84.0,4.0,27.0,52.0,0.0,4.61320754716981,0.0,6.14150943396226,0.0,1.0,0.361702127659574,783.0,0.1,2.0,2.0,9.0,3.2200371945512174e-06
332,0.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,12.0,3.53,1.0,86.0,1.0,0.0,18.0,3.0,4.7,2.0,12.4,0.0,1.0,0.863636363636364,19.0,0.5,0.0,2.0,2.0,0.003914043844448378
333,0.0,0.0,2.0,0.0,0.0,2.0,2.0,5.0,6.0,25.0,0.41,0.0,84.0,2.0,0.0,22.0,1.0,3.26666666666667,0.0,4.3,0.0,1.0,0.818181818181818,32.0,0.333333333333333,1.0,3.0,2.0,0.00010738704809598598
334,2.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,19.0,24.0,1.71,3.0,100.0,2.0,0.0,23.0,2.0,2.77777777777778,0.0,5.62962962962963,0.0,1.0,0.6875,40.0,0.375,0.0,2.0,5.0,6.804796828974169e-05
343,4.0,0.0,1.0,0.0,2.0,1.0,4.0,2.0,2.0,6.0,0.15,8.0,25.0,1.0,0.0,25.0,2.0,4.41666666666667,4.0,9.0,2.0,1.0,0.941176470588235,37.0,0.454545454545455,0.0,3.0,3.0,0.0029243769724899282
347,8.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,9.0,14.0,0.2,0.0,78.0,2.0,0.0,26.0,2.0,4.27272727272727,0.0,6.13636363636364,0.0,1.0,4.1,160.0,0.384615384615385,0.0,5.0,2.0,0.00011561097293799616
350,16.0,0.0,1.0,18.0,12.0,2.0,11.0,5.0,27.0,78.0,0.49,0.0,95.0,2.0,0.0,16.0,2.0,3.19191919191919,0.0,3.23232323232323,0.0,1.0,3.7,145.0,0.375,0.0,3.0,9.0,0.0001136237542269658
354,10.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,5.0,7.0,0.51,1.0,88.0,4.0,0.0,23.0,2.0,2.89473684210526,0.0,2.7,0.0,1.0,1.73913043478261,39.0,0.4,0.0,3.0,7.0,0.0003955139949237685
364,0.0,0.0,3.0,0.0,0.0,17.0,1.0,4.0,0.0,1.0,0.66,2.0,0.0,0.0,0.0,7.0,1.0,4.0,3.0,11.2,2.0,1.0,2.375,353.0,0.375,0.0,2.0,0.0,0.00011584578013834612
365,0.0,0.0,2.0,0.0,0.0,2.0,2.0,7.0,0.0,7.0,0.35,0.0,62.0,2.0,0.0,13.0,1.0,4.3125,1.0,5.0,1.0,1.0,1.35,433.0,0.428571428571429,0.0,1.0,5.0,0.00013821413486114764
379,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,7.0,0.23,0.0,61.0,2.0,0.0,7.0,1.0,3.25,0.0,4.0,1.0,1.0,0.545454545454545,125.0,0.8,0.0,8.0,4.0,0.0012555224745675053
380,2.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,6.0,2.0,0.35,1.0,55.0,2.0,0.0,18.0,1.0,4.5,0.0,5.33333333333333,1.0,1.0,3.4,151.0,0.4,0.0,1.0,4.0,0.00011989464090211843
381,1.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,6.0,33.0,0.16,0.0,95.0,4.0,0.0,19.0,1.0,2.13888888888889,0.0,2.9,1.0,1.0,0.536585365853659,615.0,0.666666666666667,0.0,2.0,3.0,4.629416456847224e-07
533,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,9.0,10.0,7.35,1.0,100.0,4.0,0.0,6.0,1.0,2.5,0.0,5.6,1.0,1.0,0.625,339.0,0.4,0.0,1.0,3.0,0.0001950049981992441
534,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,9.0,10.0,0.38,1.0,100.0,4.0,0.0,5.0,3.0,2.5,3.0,5.4,1.0,1.0,0.625,333.0,0.4,0.0,1.0,3.0,5.362763622418498e-05
537,7.0,0.0,1.0,1.0,1.0,2.0,7.0,3.0,9.0,52.0,8.06,1.0,97.0,4.0,0.0,44.0,1.0,2.74193548387097,0.0,4.5,0.0,1.0,0.457142857142857,1293.0,0.384615384615385,0.0,2.0,2.0,1.8226094551931915e-05
538,7.0,0.0,1.0,1.0,1.0,2.0,5.0,5.0,6.0,48.0,0.23,1.0,97.0,4.0,0.0,38.0,1.0,2.76666666666667,0.0,0.6,0.0,1.0,0.454545454545455,1208.0,0.363636363636364,0.0,1.0,3.0,4.56481910326989e-06
556,0.0,0.0,15.0,0.0,0.0,2.0,2.0,0.0,5.0,4.0,0.64,0.0,25.0,2.0,1.0,9.0,1.0,5.75,3.0,7.0,4.0,1.0,1.125,89.0,0.375,0.0,4.0,4.0,0.010888119909549299
580,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,7.0,2.31,0.0,0.0,4.0,0.0,14.0,1.0,1.875,0.0,5.0,2.0,1.0,0.0,116.0,0.333333333333333,0.0,6.0,0.0,0.0001578194060778415
660,7.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,7.0,13.0,0.55,0.0,75.0,2.0,0.0,20.0,2.0,3.9,0.0,3.65,0.0,1.0,0.68,53.0,0.2,0.0,2.0,4.0,2.8463553444213474e-06
661,5.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,6.0,14.0,0.84,1.0,75.0,4.0,0.0,20.0,2.0,4.68421052631579,1.0,4.36842105263158,1.0,1.0,0.818181818181818,35.0,0.375,0.0,2.0,4.0,0.0003284936495416835
673,5.0,0.0,1.0,33.0,0.0,3.0,1.0,0.0,9.0,7.0,0.47,0.0,92.0,4.0,0.0,8.0,1.0,6.0,1.0,7.33333333333333,2.0,1.0,2.7,152.0,0.4,0.0,4.0,3.0,6.600880579232804e-05
675,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,6.0,5.45,9.0,71.0,4.0,0.0,7.0,1.0,4.42857142857143,1.0,7.85714285714286,2.0,1.0,0.666666666666667,387.0,0.666666666666667,0.0,2.0,1.0,9.225815264857218e-05
731,1.0,0.0,3.0,0.0,3.0,2.0,3.0,0.0,3.0,9.0,0.2,3.0,50.0,3.0,0.0,5.0,2.0,2.7,0.0,4.6,1.0,1.0,1.35714285714286,31.0,0.7,0.0,3.0,8.0,0.015285611928676612
757,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,7.0,8.0,5.77,0.0,71.0,2.0,1.0,9.0,1.0,20.25,1.0,4.625,1.0,1.0,0.583333333333333,204.0,0.9,0.0,5.0,6.0,0.00024129854383436733
759,1.0,0.0,1.0,10.0,0.0,3.0,1.0,3.0,7.0,11.0,1.62,0.0,89.0,4.0,0.0,8.0,1.0,5.75,1.0,3.91666666666667,1.0,1.0,0.928571428571429,168.0,0.466666666666667,0.0,4.0,3.0,0.00013260927675817769
761,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,5.0,6.0,0.72,0.0,45.0,2.0,0.0,8.0,1.0,4.5,2.0,4.83333333333333,3.0,1.0,0.333333333333333,223.0,1.1,0.0,7.0,1.0,4.190808444448635e-05
876,2.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,7.0,26.0,0.4,0.0,76.0,2.0,0.0,16.0,2.0,3.67647058823529,0.0,3.14705882352941,1.0,1.0,0.805555555555556,46.0,0.4,0.0,3.0,6.0,5.556397139061531e-07
892,3.0,31.0,1.0,0.0,7.0,1.0,5.0,9.0,43.0,40.0,0.24,0.0,90.0,2.0,1.0,35.0,2.0,6.04819277108434,1.0,2.7,1.0,1.0,0.876404494382023,537.0,0.521739130434783,1.0,3.0,9.0,3.6840404964433304e-06
939,14.0,0.0,1.0,10.0,5.0,4.0,4.0,21.0,38.0,44.0,0.38,0.0,100.0,2.0,6.0,36.0,2.0,7.13924050632911,0.0,4.0253164556962,0.0,0.0,3.5,218.0,0.5,0.0,5.0,8.0,4.757489898066236e-05
941,28.0,0.0,5.0,10.0,3.0,0.0,1.0,1.0,11.0,7.0,4.06,0.0,88.0,1.0,0.0,3.0,2.0,5.11111111111111,1.0,4.80555555555556,1.0,1.0,1.68421052631579,10.0,0.5,0.0,5.0,4.0,0.0009055466054964656
1009,1.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,6.0,12.0,0.56,0.0,27.0,3.0,2.0,18.0,2.0,3.78571428571429,1.0,3.71428571428571,0.0,1.0,0.458333333333333,171.0,0.1,0.0,3.0,9.0,0.0010492127926521322
1012,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.79,0.0,0.0,2.0,0.0,0.0,1.0,1.25,0.0,1.75,1.0,1.0,4.0,59.0,0.5,0.0,4.0,0.0,0.0018688830289442793
1013,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.71,0.0,0.0,2.0,0.0,0.0,1.0,1.25,0.0,1.75,1.0,1.0,5.4,59.0,0.4,0.0,3.0,0.0,0.003384847590471418
1098,2.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,6.0,10.0,0.6,1.0,83.0,3.0,0.0,2.0,1.0,3.58333333333333,1.0,4.91666666666667,1.0,1.0,4.9,61.0,0.6,0.0,3.0,1.0,0.00046158853446054415
1113,0.0,0.0,1.0,3.0,1.0,3.0,5.0,0.0,7.0,24.0,9.68,0.0,100.0,2.0,4.0,4.0,2.0,15.5555555555556,0.0,4.0,0.0,1.0,1.22857142857143,426.0,0.769230769230769,0.0,2.0,2.0,0.0002441453021850837
1128,0.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,12.0,56.0,0.75,0.0,40.0,2.0,1.0,4.0,0.0,3.87719298245614,0.0,1.92982456140351,1.0,1.0,0.525423728813559,11.0,0.75,0.0,2.0,2.0,0.010764581278991603
1146,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,11.0,0.2,0.0,33.0,4.0,0.0,13.0,1.0,2.0,1.0,2.58333333333333,0.0,1.0,0.5,29.0,0.714285714285714,0.0,5.0,0.0,0.0004356399072736883
1148,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.28,4.0,50.0,4.0,0.0,16.0,2.0,4.0,2.0,8.2,19.0,1.0,0.833333333333333,6.0,1.0,0.0,2.0,1.0,0.03499011797239315
1153,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.26,1.0,62.0,4.0,0.0,23.0,1.0,3.25,1.0,10.0,8.0,1.0,2.7,7.0,0.8,0.0,5.0,1.0,0.0007803907792156561
1159,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.24,0.0,70.0,4.0,0.0,6.0,1.0,2.0,1.0,7.6,2.0,1.0,0.857142857142857,35.0,0.666666666666667,0.0,8.0,2.0,0.00039301705013050636
1161,0.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,8.0,8.0,0.13,0.0,56.0,4.0,0.0,16.0,2.0,8.6,1.0,6.72727272727273,2.0,1.0,1.0,301.0,0.1,0.0,2.0,1.0,0.00014654538530800565
1184,0.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,9.0,13.0,0.17,3.0,60.0,0.0,0.0,27.0,0.0,4.14285714285714,0.0,8.78571428571429,1.0,1.0,0.5,30.0,0.6,0.0,6.0,2.0,0.0011472466192702369
1195,6.0,16.0,1.0,2.0,3.0,1.0,30.0,0.0,41.0,147.0,0.11,3.0,97.0,5.0,2.0,72.0,2.0,3.50887573964497,0.0,9.81065088757397,0.0,1.0,5.0,766.0,0.53125,1.0,2.0,5.0,1.2240340857005982e-05
1212,4.0,10.0,1.0,0.0,0.0,2.0,7.0,0.0,19.0,10.0,1.58,2.0,50.0,6.0,0.0,22.0,2.0,4.0,0.0,6.79166666666667,1.0,1.0,1.125,22.0,0.444444444444444,0.0,1.0,2.0,0.0007051395590320642
1222,0.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0,19.0,16.0,4.71,1.0,75.0,3.0,0.0,24.0,2.0,4.52941176470588,0.0,5.76470588235294,0.0,1.0,4.0,15.0,0.8,0.0,5.0,3.0,0.002024214643955413
1229,0.0,0.0,4.0,1.0,0.0,1.0,7.0,1.0,10.0,15.0,0.28,1.0,100.0,4.0,0.0,7.0,1.0,2.625,0.0,4.5,1.0,1.0,3.0,20.0,0.75,0.0,4.0,2.0,0.0007179241375665502
1230,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,13.0,0.18,2.0,50.0,3.0,0.0,25.0,1.0,2.42857142857143,0.0,5.0,1.0,1.0,2.4,57.0,0.75,1.0,4.0,3.0,0.0003474370085170264
1231,7.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,48.0,0.16,1.0,97.0,0.0,0.0,43.0,2.0,2.95,0.0,4.48333333333333,1.0,1.0,2.8,303.0,0.5,0.0,7.0,7.0,0.0001024269392818633
1237,4.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,54.0,3.87,1.0,0.0,4.0,0.0,16.0,1.0,3.82352941176471,0.0,3.47058823529412,1.0,1.0,0.428571428571429,10.0,0.6,0.0,1.0,2.0,0.24724616071590022
1238,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,0.48,1.0,33.0,3.0,0.0,2.0,5.0,1.14285714285714,0.0,3.14285714285714,1.0,1.0,0.0,137.0,0.8,0.0,1.0,2.0,0.00040311463019082616
1254,0.0,0.0,1.0,2.0,0.0,0.0,1.0,15.0,2.0,14.0,0.22,0.0,75.0,3.0,0.0,22.0,1.0,3.25,1.0,5.5,1.0,1.0,5.0,22.0,0.428571428571429,0.0,2.0,3.0,0.013601160575121507
1272,1.0,0.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,2.0,0.48,3.0,33.0,3.0,0.0,20.0,7.0,6.33333333333333,2.0,8.0,5.0,1.0,2.1,8.0,0.6,0.0,2.0,3.0,0.01064403851866147
1277,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,2.0,26.0,0.54,0.0,90.0,3.0,3.0,25.0,1.0,10.6296296296296,0.0,2.77777777777778,0.0,1.0,1.8,36.0,0.5,0.0,1.0,4.0,0.00011762666173620318
1283,1.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,4.0,0.18,6.0,0.0,3.0,0.0,22.0,1.0,5.2,3.0,12.6,4.0,1.0,5.0,110.0,0.5,0.0,6.0,1.0,0.0007723270729486087
1286,3.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,0.0,12.0,0.39,4.0,0.0,3.0,1.0,25.0,2.0,2.5625,0.0,5.75,1.0,1.0,4.6,47.0,0.571428571428571,0.0,7.0,2.0,0.002767542177166238
1291,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.79,1.0,0.0,3.0,0.0,15.0,1.0,3.5,1.0,7.5,2.0,1.0,0.0,3.0,0.5,1.0,4.0,3.0,0.03506329226699423
1296,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,3.0,19.0,4.75,3.0,60.0,3.0,0.0,26.0,2.0,3.78947368421053,0.0,8.26315789473684,1.0,1.0,0.0,16.0,0.6,0.0,7.0,4.0,0.001962448045183085
