Model,Method,Project,Flip,Computed,#TP,Flip%
XGBoost,kfeature,activemq@1,54,54,54,1.0
XGBoost,kfeature,activemq@2,90,90,90,1.0
XGBoost,kfeature,activemq@3,90,90,90,1.0
XGBoost,kfeature,camel@0,51,51,51,1.0
XGBoost,kfeature,camel@1,34,34,34,1.0
XGBoost,kfeature,camel@2,28,28,28,1.0
XGBoost,kfeature,derby@0,431,431,431,1.0
XGBoost,kfeature,derby@1,217,217,217,1.0
XGBoost,kfeature,groovy@0,8,8,8,1.0
XGBoost,kfeature,groovy@1,25,25,25,1.0
XGBoost,kfeature,hbase@0,101,101,101,1.0
XGBoost,kfeature,hbase@1,167,167,167,1.0
XGBoost,kfeature,hive@0,84,84,84,1.0
XGBoost,kfeature,hive@1,68,68,68,1.0
XGBoost,kfeature,jruby@0,47,47,47,1.0
XGBoost,kfeature,jruby@1,48,48,48,1.0
XGBoost,kfeature,jruby@2,23,23,23,1.0
XGBoost,kfeature,lucene@0,138,138,138,1.0
XGBoost,kfeature,lucene@1,115,115,115,1.0
XGBoost,kfeature,lucene@2,5,5,5,1.0
XGBoost,kfeature,wicket@0,40,40,40,1.0
XGBoost,kfeature,wicket@1,17,17,17,1.0
LightGBM,kfeature,activemq@0,76,76,76,1.0
LightGBM,kfeature,activemq@1,54,54,54,1.0
LightGBM,kfeature,activemq@2,88,88,88,1.0
LightGBM,kfeature,activemq@3,87,87,87,1.0
LightGBM,kfeature,camel@0,44,44,44,1.0
LightGBM,kfeature,camel@1,37,37,37,1.0
LightGBM,kfeature,camel@2,24,24,24,1.0
LightGBM,kfeature,derby@0,439,439,439,1.0
LightGBM,kfeature,derby@1,205,205,205,1.0
LightGBM,kfeature,groovy@0,12,12,12,1.0
LightGBM,kfeature,groovy@1,25,25,25,1.0
LightGBM,kfeature,hbase@0,103,103,103,1.0
LightGBM,kfeature,hbase@1,156,156,156,1.0
LightGBM,kfeature,hive@0,87,87,87,1.0
LightGBM,kfeature,hive@1,61,61,61,1.0
LightGBM,kfeature,jruby@0,46,46,46,1.0
LightGBM,kfeature,jruby@1,48,48,48,1.0
LightGBM,kfeature,jruby@2,23,23,23,1.0
LightGBM,kfeature,lucene@0,134,134,134,1.0
LightGBM,kfeature,lucene@1,110,110,110,1.0
LightGBM,kfeature,lucene@2,4,4,4,1.0
LightGBM,kfeature,wicket@0,44,44,44,1.0
LightGBM,kfeature,wicket@1,14,14,14,1.0
CatBoost,kfeature,activemq@0,68,68,68,1.0
CatBoost,kfeature,activemq@1,45,45,45,1.0
CatBoost,kfeature,activemq@2,83,83,83,1.0
CatBoost,kfeature,activemq@3,87,87,87,1.0
CatBoost,kfeature,camel@0,50,50,50,1.0
CatBoost,kfeature,camel@1,39,39,39,1.0
CatBoost,kfeature,camel@2,22,22,22,1.0
CatBoost,kfeature,derby@0,409,409,410,0.9975609756097561
CatBoost,kfeature,derby@1,206,206,206,1.0
CatBoost,kfeature,groovy@0,8,8,8,1.0
CatBoost,kfeature,groovy@1,22,22,22,1.0
CatBoost,kfeature,hbase@0,104,104,104,1.0
CatBoost,kfeature,hbase@1,158,158,158,1.0
CatBoost,kfeature,hive@0,71,71,71,1.0
CatBoost,kfeature,hive@1,55,55,55,1.0
CatBoost,kfeature,jruby@0,44,44,44,1.0
CatBoost,kfeature,jruby@1,44,44,44,1.0
CatBoost,kfeature,jruby@2,21,21,21,1.0
CatBoost,kfeature,lucene@0,106,106,106,1.0
CatBoost,kfeature,lucene@1,91,91,91,1.0
CatBoost,kfeature,lucene@2,6,6,6,1.0
CatBoost,kfeature,wicket@0,40,40,40,1.0
CatBoost,kfeature,wicket@1,14,14,14,1.0
