CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.78,0.0,6.0,1.0,3.0,0.0,4.0,1.0,3.67,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0
22.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.06,0.0,31.0,3.0,3.0,0.0,16.0,1.0,3.42,1.0,5.48,1.0,1.0,1.0,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.51,0.0,4.0,2.0,1.0,0.0,4.0,1.0,3.25,2.0,3.75,1.0,1.0,0.0,0.0,3.0,1.0,0
1.0,0.0,1.0,1.0,3.0,1.0,3.0,4.0,0.29,3.0,5.0,3.0,1.0,0.0,5.0,2.0,7.67,2.0,10.83,4.0,1.0,0.5,0.0,5.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0
15.0,1.0,2.0,6.0,0.0,11.0,14.0,4.0,0.09,0.0,48.0,4.0,1.0,2.0,43.0,3.0,3.94,0.0,7.04,0.0,1.0,0.41,1.0,3.0,7.0,1
0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,2.16,0.0,3.0,1.0,3.0,1.0,2.0,1.0,5.33,2.0,3.67,1.0,1.0,0.0,0.0,4.0,0.0,0
0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,0.89,0.0,3.0,1.0,2.0,0.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,0
1.0,3.0,1.0,3.0,0.0,4.0,0.0,12.0,0.17,0.0,18.0,1.0,1.0,4.0,2.0,2.0,3.47,0.0,1.53,1.0,1.0,1.0,0.0,1.0,1.0,0
8.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,0.2,1.0,18.0,4.0,1.0,2.0,5.0,1.0,6.55,0.0,3.75,1.0,1.0,0.75,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.0,3.0,4.0,3.0,0.0,0.0,1.0,1.67,1.0,1.33,1.0,1.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.82,0.0,4.0,3.0,3.0,0.0,0.0,1.0,2.5,1.0,1.75,1.0,1.0,1.0,0.0,1.0,0.0,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.56,0.0,4.0,4.0,2.0,7.0,0.0,1.0,3.5,1.0,2.5,2.0,1.0,1.0,0.0,1.0,0.0,0
2.0,0.0,2.0,6.0,2.0,3.0,1.0,0.0,0.24,0.0,2.0,3.0,1.0,0.0,30.0,2.0,7.26,0.0,4.33,1.0,1.0,0.4,0.0,4.0,6.0,0
4.0,1.0,1.0,4.0,5.0,9.0,11.0,19.0,1.0,0.0,68.0,2.0,2.0,2.0,7.0,4.0,3.03,0.0,3.1,1.0,1.0,0.0,0.0,1.0,1.0,0
3.0,3.0,2.0,5.0,6.0,6.0,6.0,12.0,0.89,1.0,26.0,3.0,2.0,2.0,5.0,2.0,5.78,0.0,4.0,1.0,1.0,0.0,0.0,1.0,3.0,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.62,0.0,4.0,1.0,4.0,2.0,2.0,1.0,2.75,0.0,2.75,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.78,0.0,4.0,1.0,1.0,0.0,1.0,2.0,2.25,0.0,2.5,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,0.57,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.86,1.0,3.86,1.0,1.0,0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.23,0.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,3.22,2.0,1.0,0.0,0.0,3.0,0.0,0
2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.29,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.25,2.0,2.25,1.0,1.0,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.35,0.0,8.0,1.0,2.0,8.0,2.0,1.0,3.5,1.0,1.5,1.0,1.0,0.0,0.0,2.0,1.0,0
0.0,5.0,1.0,0.0,3.0,1.0,1.0,0.0,0.73,0.0,34.0,2.0,1.0,2.0,4.0,1.0,2.62,0.0,2.79,1.0,1.0,0.0,0.0,1.0,3.0,0
1.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.86,1.0,12.0,2.0,2.0,0.0,3.0,1.0,2.0,0.0,2.46,1.0,1.0,0.0,0.0,1.0,3.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.94,0.0,3.0,1.0,5.0,0.0,2.0,1.0,1.33,1.0,2.33,1.0,1.0,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.21,0.0,3.0,1.0,5.0,0.0,3.0,1.0,1.0,0.0,0.67,0.0,1.0,0.0,0.0,1.0,0.0,0
21.0,0.0,1.0,0.0,0.0,2.0,3.0,5.0,0.07,2.0,29.0,5.0,1.0,0.0,20.0,2.0,4.52,0.0,6.45,0.0,1.0,1.0,0.0,1.0,1.0,0
6.0,0.0,2.0,6.0,3.0,1.0,0.0,3.0,0.77,1.0,15.0,3.0,1.0,0.0,1.0,1.0,3.07,1.0,3.67,1.0,1.0,1.0,0.0,3.0,3.0,1
0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.83,0.0,5.0,1.0,1.0,1.0,1.0,2.0,1.6,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,5.22,0.0,2.0,1.0,3.0,0.0,2.0,1.0,1.5,1.0,1.5,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,5.33,0.0,2.0,1.0,3.0,0.0,2.0,1.0,1.5,1.0,1.5,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,0.12,0.0,12.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.64,0.0,3.0,1.0,2.0,0.0,1.0,1.0,0.33,0.0,4.67,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5,2.0,2.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,6.5,6.0,1.0,0.0,0.0,3.0,3.0,0
0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,3.6,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38,0.0,1.0,0.0,0.0,2.0,0.0,0
0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.02,0.0,3.0,1.0,2.0,0.0,0.0,2.0,1.83,0.0,2.33,1.0,1.0,0.0,0.0,2.0,2.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.26,0.0,177.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,2.03,0.0,1.0,0.0,0.0,2.0,3.0,0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.04,3.0,2.0,4.0,1.0,0.0,4.0,1.0,3.33,2.0,6.33,2.0,3.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.34,0.0,20.0,1.0,2.0,0.0,1.0,1.0,1.25,0.0,2.85,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.85,13.0,1.0,1.0,4.0,0.0,16.0,1.0,8.0,8.0,23.0,23.0,1.0,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.53,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.61,0.0,4.0,1.0,2.0,0.0,3.0,1.0,1.25,0.0,1.5,1.0,1.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.17,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.18,1.0,3.0,1.0,2.0,0.0,3.0,1.0,1.67,0.0,2.67,2.0,1.0,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.82,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.11,1.0,4.0,1.0,2.0,0.0,4.0,1.0,1.4,0.0,4.2,2.0,1.0,0.0,0.0,2.0,3.0,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.14,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.73,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,3.0,0.0,0
0.0,0.0,1.0,13.75,2.21,1.0,0.0,1.62,0.4,0.0,3.43,1.0,2.0,0.0,1.4,1.0,0.4,0.0,1.12,0.6,1.0,0.0,0.0,1.4,0.0,0
0.0,0.0,1.0,0.0,0.08,1.0,2.0,0.24,1.16,0.0,3.0,1.0,4.76,0.0,2.84,1.0,0.95,0.0,0.99,0.08,1.0,0.0,0.0,1.08,0.0,0
0.0,5.04,1.0,0.0,0.0,1.0,0.0,0.37,2.57,0.0,8.74,1.0,0.74,1.0,0.0,0.74,0.85,0.37,0.86,0.37,1.0,0.0,0.0,2.0,0.0,0
0.25,0.75,1.0,0.75,0.0,1.75,0.0,2.99,0.68,9.76,5.23,1.0,3.25,1.0,12.51,1.25,6.87,6.01,17.65,17.52,1.0,0.25,0.0,1.75,1.0,0
9.69,0.0,1.0,0.0,1.08,1.46,1.38,3.38,1.2,0.92,14.99,2.85,2.08,0.54,10.3,1.46,4.96,1.08,4.95,0.54,1.0,0.46,0.0,2.62,0.46,0
0.0,0.0,1.0,1.2,1.2,1.0,0.0,0.4,2.63,0.0,0.6,1.4,2.8,0.0,0.0,1.0,1.14,0.4,2.14,1.0,1.0,0.0,0.0,1.0,1.4,0
0.79,0.79,0.4,0.4,0.79,1.79,0.0,0.4,4.15,1.58,0.79,0.4,1.4,1.0,0.4,1.0,1.28,0.79,0.89,0.4,0.4,0.0,0.0,1.79,0.0,0
0.64,0.64,1.0,0.32,0.64,1.64,0.0,1.0,0.41,1.29,5.39,1.68,2.0,1.0,1.0,1.0,2.11,0.64,2.27,1.0,1.0,0.0,0.0,2.32,0.0,0
1.77,0.0,1.0,1.77,0.0,3.65,4.42,6.42,0.39,0.0,20.79,1.88,1.88,0.0,8.83,1.88,2.44,0.0,3.3,1.0,1.0,0.0,0.0,3.77,0.0,0
1.74,1.74,1.0,1.0,1.74,2.74,0.0,1.0,0.33,3.48,2.26,1.0,2.26,1.13,1.13,1.0,3.18,1.74,2.32,1.0,1.0,0.0,0.0,2.74,0.0,0
8.3,0.0,1.0,0.0,0.0,1.4,3.0,5.0,0.27,0.79,15.7,2.58,1.0,0.0,8.51,1.4,3.17,0.6,4.36,0.0,1.0,0.4,0.0,2.21,1.0,0
0.0,0.0,1.0,0.0,0.34,1.66,2.66,2.34,0.36,0.0,12.84,1.0,2.66,0.0,2.97,1.66,0.84,0.0,2.59,0.34,1.0,0.0,0.0,2.0,0.66,0
0.0,0.0,1.0,1.3,0.35,1.0,0.35,1.05,0.66,0.0,8.3,1.0,2.95,0.0,2.95,1.35,2.77,1.0,2.12,1.0,1.0,0.0,0.0,2.65,0.0,0
0.0,0.56,1.0,0.0,0.3,1.0,0.0,0.97,1.09,0.0,4.43,2.93,2.9,0.03,0.07,0.97,2.65,0.97,1.72,0.97,1.0,0.97,0.0,1.07,0.03,0
0.0,0.0,1.0,0.0,1.56,1.0,0.0,0.0,0.65,0.0,85.41,1.0,3.52,0.0,0.96,1.0,0.48,0.0,1.49,0.52,1.0,0.0,0.0,2.52,1.44,0
0.0,0.0,1.0,0.85,0.15,1.0,0.0,1.44,0.65,0.0,4.44,1.0,3.85,1.85,1.85,1.0,3.12,0.44,2.68,1.0,1.0,0.0,0.0,1.44,0.44,0
0.0,0.0,1.98,0.05,0.0,1.0,0.0,0.0,0.8,0.0,3.14,1.98,4.0,0.0,7.91,1.0,7.24,1.98,3.64,1.98,1.0,0.0,0.0,3.98,0.0,0
0.0,0.0,1.82,0.0,13.11,1.82,2.46,6.92,1.53,0.82,8.92,3.46,2.64,0.0,4.92,1.0,3.29,0.0,5.67,0.18,1.0,0.0,0.0,2.0,4.1,0
0.0,0.0,1.0,0.0,0.7,1.0,1.4,2.0,1.1,0.0,6.81,1.3,1.7,5.62,2.6,1.0,3.43,1.3,2.17,1.0,1.0,0.0,0.0,2.3,1.0,0
0.0,0.0,1.0,0.0,0.14,1.0,0.0,0.0,0.76,11.23,1.0,1.0,3.73,0.0,13.96,1.0,6.91,6.91,20.01,20.01,1.0,0.0,0.0,1.86,0.86,0
0.89,0.0,1.0,0.0,0.0,1.0,0.0,2.66,0.06,0.0,196.75,1.89,1.0,0.0,1.34,1.89,2.87,1.0,3.91,2.0,1.0,0.0,0.0,1.23,2.66,0
0.0,0.0,1.0,0.39,1.84,2.55,0.39,3.1,0.69,0.0,7.97,1.0,3.61,0.77,2.71,1.39,0.84,0.0,1.79,0.61,1.0,0.0,0.0,2.61,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.03,1.18,0.0,3.51,1.0,4.91,0.0,2.94,1.0,1.01,0.0,0.73,0.03,1.0,0.0,0.0,1.03,0.0,0
0.0,0.0,1.0,0.0,0.0,2.11,0.0,1.56,0.51,0.0,9.44,1.56,2.0,0.44,2.79,2.56,2.08,0.44,2.7,1.0,1.0,0.56,0.0,1.44,0.0,0
0.99,0.0,1.99,0.0,0.0,2.98,0.99,2.99,0.37,0.0,7.95,1.99,4.01,0.0,3.98,1.99,1.87,0.01,2.5,0.01,1.0,0.0,0.0,2.01,1.98,0
4.23,0.0,2.06,0.0,1.0,1.0,2.0,2.53,0.74,0.53,13.29,2.59,1.47,4.83,3.59,1.0,5.11,0.47,2.69,1.0,1.0,0.4,0.0,2.0,0.47,0
0.0,0.0,1.0,0.0,0.72,1.56,1.44,2.72,0.54,0.0,4.69,1.28,2.0,0.0,2.13,1.56,0.77,0.0,4.34,1.0,1.0,0.28,0.0,1.72,0.0,0
0.36,0.0,1.36,0.0,0.0,1.71,0.36,1.07,0.68,8.37,3.49,1.36,4.0,0.0,11.72,1.36,5.82,5.15,15.69,14.8,1.0,0.0,0.0,2.0,1.36,0
0.0,0.0,1.0,0.72,0.0,1.0,0.0,0.72,0.63,0.0,54.64,1.0,3.0,0.0,3.43,1.0,2.91,0.72,2.01,0.72,1.0,0.0,0.0,2.72,1.57,0
0.0,0.0,0.52,0.0,0.0,2.03,0.0,1.03,3.52,0.0,4.65,1.03,1.52,0.97,2.59,2.03,0.98,0.0,1.81,0.52,0.52,0.52,0.0,1.0,0.48,0
2.23,0.41,1.0,2.23,3.82,4.27,6.27,10.13,0.58,1.77,30.75,2.59,1.41,0.82,5.82,2.82,5.77,1.18,7.67,2.77,1.0,0.3,0.0,3.37,1.0,0
0.0,0.53,1.0,0.0,0.0,2.73,0.0,1.73,0.63,0.0,8.34,1.87,1.73,0.4,4.34,2.6,2.08,0.13,3.13,0.87,1.0,0.87,0.0,1.27,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.58,2.85,0.46,0.0,9.27,1.58,1.58,2.55,5.6,1.0,9.29,1.42,2.39,1.0,1.0,0.0,0.0,3.85,1.15,0
0.0,0.0,1.0,0.0,0.0,1.82,2.82,1.82,0.24,0.0,18.37,1.0,2.82,0.0,3.45,1.82,1.14,0.0,1.75,0.18,1.0,0.0,0.0,2.0,0.82,0
0.0,0.0,1.0,30.83,3.62,1.0,0.0,3.71,0.73,0.0,6.9,1.0,2.1,0.0,2.19,1.0,1.26,0.1,1.35,0.1,1.0,0.0,0.0,2.1,0.1,0
0.0,0.0,1.32,0.0,5.15,1.32,0.96,3.25,1.13,0.32,5.25,1.96,1.64,0.0,3.29,1.0,3.29,1.36,3.78,1.36,1.0,0.0,0.0,2.0,1.61,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.77,0.0,3.0,1.0,4.0,0.0,3.0,1.0,2.0,1.0,3.25,1.0,1.0,0.0,0.0,1.0,0.0,0
9.56,0.64,1.27,3.82,0.0,7.37,8.92,2.55,2.48,0.0,30.58,2.55,1.0,1.64,27.4,2.27,2.51,0.0,4.49,0.0,0.64,0.26,0.64,2.27,4.46,1
5.35,1.66,2.34,0.0,1.66,1.0,1.67,2.01,0.38,0.67,23.3,3.34,1.0,2.0,4.67,1.0,5.25,0.0,3.43,1.0,1.0,0.5,0.0,1.67,0.99,0
0.83,0.0,1.83,0.17,0.0,2.66,0.83,2.66,0.43,0.0,7.66,1.83,3.83,0.0,4.0,1.83,2.18,0.17,2.41,0.17,1.0,0.0,0.0,2.17,1.83,0
0.0,0.0,1.0,0.0,1.04,1.0,0.0,1.56,1.18,0.96,2.52,1.0,2.0,0.0,3.44,1.0,2.08,1.04,4.68,3.4,1.0,0.0,0.0,3.0,2.48,0
0.17,0.17,1.0,0.08,0.17,2.08,2.75,1.92,0.23,0.33,16.68,1.0,2.92,0.08,3.75,1.92,1.29,0.17,1.56,0.08,1.0,0.0,0.0,2.08,0.92,0
4.02,0.0,1.67,4.02,2.01,1.66,0.0,2.67,0.61,0.67,13.02,2.67,1.33,0.0,2.32,1.66,2.68,0.67,3.61,1.0,1.0,1.0,0.0,2.34,2.01,0
17.25,3.04,1.0,0.0,1.61,1.82,2.46,4.11,1.7,1.64,26.86,4.29,0.82,0.18,16.78,1.64,4.97,0.0,5.45,0.0,1.0,0.82,0.0,1.36,1.0,0
0.0,0.0,1.0,0.0,1.6,1.0,0.8,3.0,0.79,0.0,3.0,1.0,2.0,0.0,1.6,1.0,2.54,1.2,3.66,1.0,1.0,0.0,0.0,2.6,1.2,0
