test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2,dist_mahal_num
909,0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,53.0,4.0,16.0,20.0,0.11,3.0,90.0,1.0,0.0,49.0,2.0,7.03571428571429,3.0,1.0,0.0,0.0,0.846645367412141,3.0,0.62,0.38,1,6000000000000.0,0.7003266938660417
927,0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,136.0,3.0,9.0,8.0,0.39,0.0,93.0,4.0,4.0,6.0,4.0,2.58620689655172,1.0,1.0,0.0,0.0,0.487364620938628,2.0,0.58,0.42,3,45000000000000.0,6.7724865677333135
929,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,34.0,2.0,5.0,21.0,0.35,0.0,93.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,34.0,0.404907975460123,2.0,0.5,0.5,3,12.155615493464822,2.914632988619154
962,0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,45.0,1.0,1.0,15.0,0.18,0.0,89.0,1.0,1.0,8.0,3.0,2.46428571428571,0.0,0.0,0.0,0.0,0.681159420289855,1.0,0.89,0.11,1,6000000000000.0,0.7003266938660417
972,0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,71.0,4.0,5.0,14.0,0.23,0.0,85.0,2.0,4.0,3.0,2.0,6.08108108108108,1.0,1.0,0.0,0.0,0.659574468085106,1.0,0.62,0.38,1,11000000000000.0,1.2839322720877433
992,0,5.0,0.0,2.0,0.0,15.0,0.0,4.0,21.0,1.0,1.0,3.0,0.08,1.0,100.0,1.0,0.0,1.0,1.0,6.75,0.0,1.0,0.0,0.0,0.547400611620795,2.0,0.61,0.39,1,10000000000000.0,1.167211156443403
1950,0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,22.0,3.0,2.0,3.0,0.3,2.0,46.0,5.0,0.0,4.0,2.0,2.75,1.0,2.0,0.0,23.0,0.577181208053691,1.0,0.58,0.42,1,0.2093023255813955,0.10685423998107922
1043,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,272.0,1.0,2.0,2.0,0.36,3.0,81.0,5.0,6.0,12.0,1.0,1.27272727272727,0.0,2.0,0.0,0.0,0.475270039795338,3.0,0.52,0.48,6,10392304845413.264,2.1233603177698774
1467,0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,20.0,1.0,6.0,3.0,0.31,5.0,82.0,4.0,2.0,16.0,1.0,4.4375,1.0,1.0,0.0,0.0,0.493445692883895,1.0,0.73,0.27,4,49000000000000.0,6.050212276982182
1535,0,3.0,1.0,1.0,3.0,0.0,5.0,2.0,140.0,6.0,0.0,1.0,0.41,5.0,79.0,5.0,2.0,10.0,2.0,1.91304347826087,1.0,1.0,0.0,0.0,0.514469453376206,1.0,0.62,0.38,1,13000000000000.0,1.5173745033764239
1744,0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,125.0,1.0,1.0,3.0,0.94,0.0,79.0,1.0,0.0,6.0,5.0,2.60869565217391,0.0,1.0,0.0,0.0,0.681818181818182,1.0,0.66,0.34,3,27092434368288.133,3.288148696252947
