project,test_idx,candidate_id,min,max,mean,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
activemq@2,172,0,0.48237829736812315,1.0558357815118917,0.6382350851787302,4.0,0.0,1.0,2.0,4.0,2.0,2.0,24.0,2.0,3.0,16.0,0.38,0.0,92.0,1.0,0.0,1.0,2.0,3.92307692307692,1.0,1.0,0.0,13.0,0.9845818014705884,2.0
activemq@2,192,0,0.7959424893833111,1.3591342598577363,0.9486489443918416,0.0,0.0,1.0,1.0,0.0,2.0,2.0,83.0,1.0,8.0,12.0,0.23,0.0,0.0,1.0,3.0,1.0,2.0,4.48275862068965,0.0,0.0,0.0,13.0,0.9776513266998346,2.0
activemq@2,195,0,0.6115471328729255,1.3750340596842656,0.8982399091134662,0.0,0.0,1.0,3.0,0.0,2.0,1.0,20.0,1.0,2.0,29.0,0.56,0.0,96.0,1.0,2.0,3.0,2.0,2.75,0.0,0.0,0.0,7.0,0.796190476190476,2.0
activemq@2,202,0,0.08489583333333905,0.584895833333339,0.39619030898876967,0.0,32.0,1.0,0.0,0.0,4.0,1.0,189.0,1.0,0.0,0.0,3.5,0.0,0.0,1.0,1.0,17.037500000000136,1.0,4.17073170731707,0.0,0.0,0.0,0.0,0.715277777777778,0.0
activemq@2,251,0,0.7691265070924536,1.357414805900853,0.9381376145303668,0.0,0.0,1.0,1.0,0.0,1.0,1.0,25.0,1.0,0.0,39.0,0.41,0.0,97.0,2.0,0.0,0.0,1.0,2.63529411764706,1.0,1.0,0.0,10.0,0.955821256038648,3.0
activemq@2,267,0,0.6559849439519079,1.2175825357563594,0.8177593516212219,0.0,1.0,2.0,2.0,0.0,2.0,3.0,22.0,4.0,9.0,14.0,0.24,0.0,89.0,2.0,2.0,3.0,2.0,4.025,0.0,0.0,0.0,39.0,0.9729552469135804,2.0
activemq@2,268,0,1.2551435364195755,1.8512958973579754,1.4150992696327118,14.0,5.0,1.0,3.0,0.0,1.0,3.0,25.0,15.0,7.0,29.0,0.16,0.0,94.0,2.0,1.0,3.0,3.0,4.28712871287129,0.0,0.0,0.0,186.0,0.9774814835596451,3.0
activemq@2,275,0,1.1906582380953021,1.921008691898985,1.3516569567996197,1.0,0.0,1.0,3.0,0.0,0.0,2.0,37.0,1.0,7.0,19.0,0.06,0.0,92.0,2.0,1.0,3.0,1.0,4.33802816901408,0.0,0.0,0.0,18.0,0.9509786040940764,3.0
activemq@2,282,0,0.9075024946183714,1.4764077626474859,1.0431811258192643,1.0,1.0,1.0,1.0,0.0,1.0,2.0,70.0,6.0,2.0,9.0,2.5,1.0,85.0,2.0,1.0,4.337500000000091,2.0,3.23076923076923,0.0,0.0,0.0,40.0,0.9632936507936508,3.0
activemq@2,283,0,0.2892561983471074,1.2892561983471074,0.5107733175914994,3.0,0.0,2.0,1.0,0.0,1.0,4.0,34.0,1.0,4.0,4.0,0.14,1.0,25.0,2.0,1.0,26.0,1.0,3.92857142857143,0.0,1.0,0.0,0.0,0.586538461538462,2.0
activemq@2,284,0,0.6716567088786879,1.22223496232669,0.8224638989069525,3.0,0.0,1.0,2.0,0.0,2.0,2.0,96.0,3.0,1.0,13.0,0.28,0.0,0.0,2.0,0.0,4.0,2.0,2.91891891891892,0.0,1.0,0.0,17.0,0.955809178743962,2.0
activemq@2,299,0,1.784625816470977,2.4449537581346172,1.9341552661514465,5.0,0.0,1.0,3.0,0.0,1.0,2.0,25.0,4.0,13.0,38.0,0.16,0.0,95.0,1.0,1.0,3.0,4.0,3.15957446808511,0.0,1.0,0.0,162.0,0.984804673403104,3.0
activemq@2,302,0,0.5371159263347361,1.0306872949225205,0.6626854017404015,2.0,0.0,1.0,1.0,0.0,0.0,2.0,60.0,3.0,3.0,16.0,2.3799999999999994,0.0,92.0,1.0,2.0,2.0,3.0,5.15909090909091,1.0,1.0,0.0,15.0,0.9845393719059408,2.0
activemq@2,432,0,0.3377523822832172,0.8797779777000936,0.5775712723502502,4.0,6.0,1.0,18.0,0.0,0.0,2.0,56.0,3.0,3.0,7.0,0.09,0.0,94.0,1.0,1.0,13.0,2.0,4.96491228070175,0.0,1.0,0.0,2.0,0.9776533996683254,3.0
activemq@2,455,0,0.03436475409836071,0.7131762295081967,0.3819166270689792,0.0,0.0,1.0,1.0,0.0,0.0,2.0,127.0,1.0,3.0,9.0,2.540375,0.0,89.0,2.0,0.0,18.0,2.0,4.22222222222222,0.0,1.0,0.0,0.0,0.587761674718196,0.0
activemq@2,543,0,0.20346448132875125,0.8141617919760239,0.3252265771688423,0.0,0.0,2.0,1.0,0.0,2.0,4.0,34.0,1.0,4.0,0.0,1.5,0.0,60.0,3.0,1.0,0.0,1.0,4.4,1.0,2.0,0.0,5.0,0.40495867768595,0.0
activemq@2,546,0,1.192702162058992,1.8094522647356583,1.3517182271084385,8.0,0.0,1.0,2.0,1.0,1.0,3.0,22.0,11.0,30.0,39.0,0.12,0.0,93.0,1.0,2.0,3.0,3.0,4.63291139240506,0.0,0.0,0.0,71.0,0.977272727272727,1.0
activemq@2,548,0,0.5416666666666667,1.5416666666666667,0.7397003745318353,0.0,0.0,2.0,1.0,0.0,0.0,2.0,28.0,2.0,3.0,3.0,0.15,0.0,70.0,3.0,0.0,1.0,2.0,3.6,0.0,1.0,0.0,4.0,0.430327868852459,0.0
activemq@2,567,0,0.44705550615626993,1.0496144484515737,0.5704931333510207,0.0,0.0,1.0,1.0,0.0,0.0,1.0,48.0,2.0,9.0,10.0,2.2952500000000198,0.0,90.0,2.0,3.0,1.0,2.0,2.84848484848485,0.0,1.0,0.0,55.0,0.55,2.0
activemq@2,729,0,0.37850045286929784,1.3826556377458077,0.7034165711777838,0.0,0.0,1.0,0.0,0.0,1.0,2.0,44.0,1.0,0.0,1.0,0.32,1.0,86.0,2.0,0.0,0.0,2.0,2.1875,0.0,0.0,0.0,4.0,0.506787330316742,2.0
activemq@2,761,0,0.2263041692289588,1.2263041692289587,0.5100603300610197,0.0,4.0,1.0,1.0,0.0,1.0,2.0,70.0,5.0,2.0,15.0,0.15,0.0,83.0,2.0,1.0,21.0,2.0,4.57575757575758,0.0,0.0,0.0,0.0,0.9579244463742944,1.0
activemq@2,762,0,1.9946045660665426,2.486468235237626,2.159123191507812,5.0,1.0,1.0,6.0,0.0,1.0,2.0,24.0,4.0,10.0,4.0,0.15,0.0,0.0,1.0,0.0,42.0,4.0,2.97916666666667,0.0,1.0,0.0,19.0,0.977272727272727,4.0
activemq@2,773,0,1.6979680294906263,2.1600734165203166,1.8112973559020087,2.0,0.0,2.0,1.0,2.0,1.0,3.0,95.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,7.0,2.0,2.0,5.41176470588235,1.0,1.0,0.0,4.0,0.9915561061381074,3.0
activemq@2,786,0,0.0,0.7190082644628099,0.11983471074380167,0.0,0.0,1.0,2.0,0.0,0.0,3.0,26.0,1.0,0.0,6.0,0.18,0.0,89.0,1.0,1.0,3.0,2.0,3.1,1.0,1.0,0.0,54.0,0.282051282051282,1.0
activemq@2,790,0,0.5959936607419322,1.1404836365271143,0.7627466911618059,2.0,0.0,1.0,3.0,1.0,0.0,2.0,74.0,4.0,4.0,16.0,0.17,0.0,0.0,2.0,0.0,4.0,3.0,3.26666666666667,0.0,0.0,0.0,40.0,0.9773154477101842,2.0
activemq@2,792,0,0.07142857142857141,1.0714285714285714,0.4636243386243386,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,40.0,0.21,0.0,97.0,1.0,0.0,0.0,1.0,2.61904761904762,1.0,1.0,0.0,1.0,0.814465408805031,1.0
activemq@2,793,0,0.0032786885245901665,0.5295081967213114,0.1439534331195058,1.0,0.0,1.0,1.0,0.0,0.0,3.0,27.0,1.0,0.0,6.0,0.93,0.0,74.0,1.0,0.0,2.0,1.0,7.5,2.0,1.0,0.0,4.0,0.691629955947137,3.0
activemq@2,795,0,0.6602949307077152,1.4697121701217948,0.8373698829560803,4.0,1.0,1.0,2.0,0.0,1.0,2.0,60.0,7.0,4.0,19.0,0.2,0.0,92.0,1.0,0.0,8.150000000000091,5.0,3.42592592592593,0.0,0.0,0.0,0.0,0.556005398110661,5.0
activemq@2,805,0,0.5153902148418852,1.2462820350153394,0.6778757469445248,3.0,0.0,1.0,3.0,0.0,0.0,2.0,41.0,1.0,7.0,12.0,0.15,0.0,92.0,1.0,1.0,7.0,2.0,2.7027027027027,0.0,0.0,0.0,1.0,0.9979703608247424,2.0
activemq@2,809,0,0.0,0.7190082644628099,0.11983471074380167,2.0,0.0,2.0,2.0,0.0,0.0,3.0,35.0,1.0,4.0,4.0,0.1,0.0,93.0,3.0,0.0,19.0,2.0,4.625,0.0,0.0,0.0,0.0,0.514705882352941,0.0
activemq@2,854,0,1.5512847156078444,1.9988865283998305,1.6412275086902897,9.0,0.0,1.0,2.0,0.0,2.0,3.0,61.0,1.0,0.0,7.0,5.4,1.0,78.0,1.0,1.0,16.0,2.0,6.625,2.0,1.0,0.0,8.0,0.9761363636363636,3.0
activemq@2,861,0,0.23940375042869155,1.2394037504286917,0.5231599112607526,0.0,0.0,1.0,1.0,0.0,0.0,2.0,23.0,1.0,0.0,4.0,0.35,0.0,65.0,2.0,0.0,5.0,2.0,2.75,1.0,1.0,0.0,16.0,0.9912471395881012,0.0
activemq@2,863,0,0.5973368162078051,1.1043165622888205,0.6989420925232679,10.0,0.0,1.0,12.0,0.0,1.0,2.0,25.0,5.0,0.0,29.0,1.8000000000000005,0.0,94.0,1.0,0.0,3.0,3.0,3.1875,1.0,1.0,0.0,24.0,0.9851830955154338,2.0
activemq@2,871,0,0.4430831327109735,0.9377731373080487,0.5927891058476225,2.0,3.0,1.0,1.0,0.0,0.0,3.0,22.0,4.0,1.0,35.0,0.09,0.0,93.0,1.0,0.0,4.0,2.0,2.73333333333333,0.0,1.0,0.0,12.0,0.977272727272727,4.0
activemq@2,877,0,0.5283102527699874,1.070366470321007,0.8257676474714379,3.0,2.0,1.0,5.0,0.0,0.0,3.0,34.0,6.0,0.0,0.0,0.14,0.0,0.0,2.0,0.0,6.0,2.0,4.625,1.0,1.0,0.0,5.0,0.956799259944496,3.0
activemq@2,893,0,0.016528925619834687,0.5289256198347108,0.3257083825265643,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,4.0,0.43,0.0,100.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,0.0,5.0,0.752941176470588,0.0
activemq@2,909,0,0.7296470656368661,1.2056220204540462,0.8820723048256799,0.0,0.0,1.0,1.0,0.0,1.0,3.0,22.0,4.0,16.0,4.2625000000000455,0.11,3.0,90.0,1.0,0.0,49.0,2.0,7.03571428571429,3.0,1.0,0.0,6.0,0.9761296478699826,3.0
activemq@2,916,0,0.5833333333333334,1.5833333333333333,0.781367041198502,0.0,4.0,1.0,3.0,0.0,0.0,3.0,21.0,1.0,0.0,8.0,0.15,1.0,77.0,1.0,0.0,0.0,1.0,4.18181818181818,1.0,1.0,0.0,68.0,0.621890547263682,0.0
activemq@2,927,0,0.49409646840894433,1.116855927036986,0.6829213540497194,0.0,0.0,1.0,2.0,0.0,1.0,2.0,25.0,3.0,9.0,25.0,0.39,0.0,93.0,4.0,4.0,6.0,4.0,2.52083333333333,1.0,1.0,0.0,45.0,0.9546731358529116,2.0
activemq@2,928,0,0.2916666666666667,1.2916666666666667,0.48970037453183524,1.0,0.0,1.0,1.0,0.0,3.0,2.0,47.0,1.0,6.0,0.0,0.47,1.0,77.0,2.0,4.0,2.0,1.0,3.22222222222222,1.0,1.0,0.0,1.0,0.594117647058824,3.0
activemq@2,929,0,0.4827331935923783,1.0034469655696878,0.6374861684198826,1.0,0.0,1.0,1.0,0.0,1.0,2.0,108.0,2.0,5.0,21.0,0.35,0.0,25.0,4.0,4.0,3.4125000000000227,2.0,2.06818181818182,0.0,0.0,0.0,34.0,0.9760973282442746,2.0
activemq@2,934,0,0.7053739207886028,1.21977252162328,0.8077491471941158,1.0,0.0,1.0,5.0,9.0,4.0,2.0,22.0,1.0,4.0,0.0,2.2241250000000017,0.0,94.0,1.0,8.0,15.0,1.0,5.57142857142857,1.0,1.0,0.0,5.0,0.9754082039028278,3.0
activemq@2,960,0,0.6666666666666667,1.6666666666666665,0.8647003745318351,0.0,0.0,1.0,1.0,0.0,1.0,2.0,36.0,1.0,6.0,0.0,0.33,1.0,88.0,2.0,1.0,0.0,1.0,3.77777777777778,1.0,1.0,0.0,1.0,0.716763005780347,2.0
activemq@2,962,0,0.237567634082234,1.2375676340822341,0.5213237949142948,1.0,0.0,1.0,3.0,0.0,0.0,2.0,45.0,1.0,1.0,15.0,0.18,0.0,89.0,1.0,1.0,8.0,3.0,2.46428571428571,0.0,0.0,0.0,6.0,0.988417565666041,1.0
activemq@2,972,0,0.4687861772729493,0.9809369641083704,0.5727266487189016,3.0,0.0,1.0,1.0,0.0,1.0,2.0,25.0,4.0,5.0,14.0,1.4627500000000009,0.0,85.0,2.0,4.0,3.0,2.0,6.08108108108108,1.0,1.0,0.0,11.0,0.9863781907747424,1.0
activemq@2,990,0,0.4688692651114549,1.4688692651114548,0.7526254259435159,0.0,0.0,1.0,4.0,4.0,4.0,2.0,57.0,1.0,0.0,6.0,0.59,0.0,91.0,1.0,0.0,0.0,1.0,6.375,1.0,1.0,0.0,4.0,0.9906060222672064,1.0
activemq@2,992,0,0.33541118945724446,0.7598509609990671,0.44416090643206924,5.0,0.0,2.0,0.0,15.0,0.0,4.0,21.0,1.0,1.0,3.0,1.5,1.0,100.0,1.0,0.0,1.0,1.0,6.75,0.0,1.0,0.0,10.0,0.9845683787128712,2.0
activemq@2,1014,0,0.07571721311475413,0.5494877049180328,0.22139116575591988,3.0,0.0,1.0,0.0,15.0,1.0,3.0,43.0,2.0,0.0,6.0,1.411875,0.0,71.0,1.0,0.0,1.0,1.0,5.78260869565217,0.0,1.0,0.0,0.0,0.571428571428571,3.0
activemq@2,1043,0,0.9400354039595589,1.3709031977055048,1.0682858868830245,0.0,0.0,1.0,1.0,2.0,2.0,2.0,61.0,1.0,0.0,5.0,2.1,3.0,81.0,5.0,6.0,12.0,1.0,1.0,0.0,2.0,0.0,10.0,0.475270039795338,3.0
activemq@2,1054,0,0.037131147540981575,0.710409836065576,0.3792036905044766,0.0,0.0,1.0,3.0,1.0,1.0,2.0,50.0,1.0,12.0,6.0,2.3635000000000126,4.0,76.0,5.0,1.0,13.0,1.0,4.89473684210526,0.0,1.0,0.0,6.0,0.741992882562278,3.0
activemq@2,1059,0,0.375,1.375,0.5730337078651686,0.0,0.0,1.0,0.0,2.0,3.0,1.0,52.0,2.0,3.0,5.0,0.29,2.0,83.0,5.0,0.0,2.0,2.0,3.25,0.0,2.0,0.0,9.0,0.928571428571429,3.0
activemq@2,1061,0,0.09344262295081968,0.5672131147540984,0.2387740555951532,0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,1.0,11.0,14.0,1.5,0.0,87.0,3.0,3.0,4.0,1.0,3.6875,1.0,0.0,0.0,0.0,0.790960451977401,0.0
activemq@2,1103,0,0.02846467391304367,0.9457880434782594,0.13806748090499008,1.0,0.0,1.0,5.0,0.0,0.0,2.0,28.0,6.0,6.0,8.0,0.09,2.0,85.0,2.0,0.0,6.0,3.0,1.33333333333333,0.0,0.0,0.0,24.0,0.413793103448276,1.0
activemq@2,1165,0,0.021823770491803247,0.504405737704918,0.16853914231408884,0.0,0.0,1.0,0.0,2.0,0.0,1.0,54.0,2.0,1.0,19.0,1.083125,0.0,95.0,5.0,0.0,4.0,2.0,1.25862068965517,0.0,0.0,0.0,0.0,0.757028112449799,2.0
activemq@2,1255,0,0.4470513954745088,1.4470513954745086,0.7308075563065698,0.0,0.0,1.0,2.0,0.0,0.0,1.0,23.0,2.0,9.0,10.0,0.14,0.0,79.0,2.0,2.0,4.0,2.0,3.07142857142857,0.0,1.0,0.0,1.0,0.9832353745215964,3.0
activemq@2,1467,0,0.4178698886618642,1.0567655572056094,0.60275872144314,2.0,0.0,1.0,1.0,0.0,0.0,1.0,46.0,1.0,6.0,11.0,2.6,5.0,82.0,4.0,2.0,3.0,1.0,4.4375,1.0,1.0,0.0,49.0,0.493445692883895,1.0
activemq@2,1535,0,0.4743840129772094,1.107249700267259,0.668337568662098,3.0,1.0,1.0,3.0,0.0,5.0,2.0,30.0,6.0,0.0,1.0,0.41,5.0,79.0,5.0,2.0,10.0,2.0,1.91304347826087,1.0,1.0,0.0,13.0,0.953846153846154,1.0
activemq@2,1732,0,0.590636739792438,1.590636739792438,0.874392900624499,5.0,0.0,1.0,5.0,2.0,2.0,3.0,49.0,3.0,4.0,13.0,0.21,1.0,84.0,1.0,0.0,8.0,2.0,4.25,0.0,0.0,0.0,4.0,0.977485691841544,3.0
activemq@2,1744,0,0.3672910105618696,1.0402320539939736,0.5803942210887185,2.0,0.0,1.0,0.0,0.0,4.0,1.0,25.0,1.0,1.0,3.0,0.94,0.0,79.0,1.0,0.0,6.0,5.0,2.60869565217391,0.0,1.0,0.0,27.0,0.98524690148871,1.0
activemq@2,1866,0,0.2916666666666667,1.2916666666666667,0.48970037453183524,0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,1.0,2.0,0.0,0.14,0.0,0.0,1.0,2.0,0.0,2.0,2.25,0.0,1.0,0.0,169.0,0.605263157894737,0.0
activemq@2,1940,0,0.4753039955768792,1.3529708504473366,0.8214748931812471,0.0,0.0,1.0,0.0,0.0,3.0,1.0,30.0,1.0,0.0,1.0,1.3,0.0,0.0,1.0,0.0,4.0,2.0,1.53658536585366,1.0,1.0,0.0,17.0,0.809264305177112,1.0
activemq@2,1942,0,0.19999999999999996,1.2,0.6243589743589744,20.0,1.0,1.0,9.0,0.0,0.0,2.0,155.0,30.0,11.0,53.0,0.13,0.0,100.0,2.0,2.0,35.0,2.0,3.98387096774194,0.0,0.0,0.0,140.0,0.969341161121983,0.0
activemq@2,1949,0,0.20115346280734472,1.2011534628073446,0.48490962363940565,0.0,0.0,1.0,2.0,0.0,0.0,3.0,19.0,1.0,1.0,4.0,0.18,2.0,62.0,2.0,0.0,3.0,1.0,3.25,2.0,6.0,0.0,11.0,0.851964573268921,0.0
activemq@2,1950,0,0.019672131147541006,0.5803278688524589,0.09460679496317417,0.0,0.0,1.0,2.0,0.0,1.0,1.0,22.0,3.0,2.0,3.0,0.67,2.0,46.0,5.0,0.0,4.0,2.0,2.75,1.0,2.0,0.0,23.0,0.577181208053691,1.0
activemq@2,1957,0,0.08196721311475409,0.5557377049180329,0.22752039280905995,0.0,0.0,1.0,0.0,0.0,0.0,2.0,24.0,1.0,7.0,8.0,1.5,0.0,78.0,2.0,0.0,6.0,1.0,3.58333333333333,1.0,2.0,0.0,5.0,0.948717948717949,0.0
activemq@2,1996,0,0.04166666666666668,1.0416666666666665,0.23970037453183518,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,2.0,3.0,1.0,0.36,1.0,25.0,2.0,2.0,4.0,2.0,0.625,0.0,1.0,0.0,4.0,1.0,0.0
activemq@2,1998,0,0.08688524590163936,0.5606557377049181,0.2323433911459571,2.0,1.0,1.0,1.0,0.0,0.0,1.0,27.0,7.0,0.0,12.0,1.5,1.0,75.0,2.0,0.0,8.0,2.0,2.83333333333333,1.0,2.0,0.0,66.0,1.0,0.0
activemq@2,2004,0,0.3333333333333333,1.3333333333333333,0.531367041198502,2.0,0.0,1.0,1.0,2.0,0.0,2.0,22.0,8.0,3.0,9.0,0.09,1.0,81.0,4.0,0.0,0.0,2.0,2.41176470588235,0.0,1.0,0.0,92.0,0.632786885245902,0.0
activemq@2,2005,0,0.0,0.7685950413223139,0.08721959858323494,1.0,0.0,1.0,1.0,2.0,0.0,1.0,22.0,10.0,4.0,6.0,0.11,1.0,85.0,4.0,0.0,9.0,2.0,2.05263157894737,0.0,1.0,0.0,91.0,0.918819188191882,1.0
activemq@2,2032,0,0.0918032786885246,0.5655737704918034,0.23716638948285418,0.0,0.0,1.0,1.0,0.0,0.0,5.0,17.0,1.0,1.0,6.0,1.5,5.0,61.0,2.0,0.0,8.0,1.0,2.66666666666667,1.0,2.0,0.0,11.0,1.0,0.0
activemq@2,2042,0,2.797067057501632e-17,0.6311475409836066,0.046226340381721714,16.0,0.0,1.0,0.0,5.0,0.0,3.0,75.0,4.0,0.0,14.0,0.2800000000000001,0.0,77.0,2.0,0.0,8.0,2.0,4.84,0.0,0.0,0.0,7.0,1.0,0.0
activemq@2,2049,0,1.5983240328580753e-17,0.6278688524590164,0.04921992555634752,5.0,6.0,2.0,16.0,2.0,0.0,2.0,61.0,3.0,1.0,21.0,0.2800000000000001,0.0,94.0,1.0,1.0,16.0,2.0,3.78571428571429,0.0,1.0,0.0,73.0,0.974965229485396,1.0
