,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,effort
2171,0.0,0.0,1.0,2.0,0.0,3.0,2.0,4.0,17.0,5.0,61.0,0.38,0.0,100.0,3.0,1.0,11.0,3.0,3.6025641025641,0.0,2.67948717948718,1.0,3.0,0.986795774647887,1.0,2.0,0.02984374830082004
901,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,34.0,2.38,0.0,0.0,1.0,4.0,8.0,2.0,3.23529411764706,1.0,1.38235294117647,1.0,0.0,0.280193236714976,1.0,3.0,0.0019870535910172515
1037,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,14.0,34.0,0.2,0.0,90.0,1.0,1.0,7.0,3.0,1.4,0.0,2.75,0.0,0.0,1.0,1.0,2.0,0.0004611839546810881
77,16.0,0.0,1.0,5.0,1.0,2.0,1.0,1.0,9.0,48.0,2.0,0.5,0.0,98.0,3.0,5.0,23.0,6.0,12.5126050420168,1.0,2.48739495798319,1.0,0.0,0.413823272090989,1.0,4.0,0.27408620899342695
82,16.0,6.0,1.0,1.0,0.0,3.0,3.0,10.0,8.0,34.0,2.0,0.28,0.0,92.0,2.0,4.0,38.0,0.0,0.5,0.0,6.67948717948718,1.0,0.0,0.5,0.666666666666667,6.0,0.08019239208143047
2190,0.0,6.0,1.0,6.0,17.0,1.0,3.0,2.0,10.0,5.0,3.0,0.16,1.0,89.0,1.0,0.0,1.0,1.0,5.52631578947368,2.0,5.05263157894737,1.0,0.0,0.498614958448753,1.0,1.0,5.88090420996501e-05
328,1.0,1.0,2.0,3.0,2.0,0.0,2.0,13.0,7.0,1.0,71.0,0.08,0.0,97.0,3.0,11.0,13.0,3.0,6.0875,0.0,2.95,0.0,0.0,0.536423841059603,0.666666666666667,2.0,6.643635955805305e-05
2201,0.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,8.0,10.0,13.0,0.15,2.0,84.0,6.0,3.0,11.0,2.0,4.42857142857143,0.0,5.47619047619048,1.0,0.0,1.1,1.0,1.0,2.4404035093628096e-05
1004,1.0,0.0,1.0,1.0,0.0,1.0,2.0,20.0,5.0,20.0,38.0,0.35,5.0,93.0,4.0,10.0,16.0,2.0,2.13636363636364,0.0,2.38636363636364,0.0,3.0,1.0,1.0,0.0,0.016319093452991096
1047,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,6.0,14.0,32.0,3.98,0.0,86.0,2.0,5.0,3.0,2.0,8.76923076923077,1.0,2.41025641025641,1.0,0.0,0.621103117505995,1.0,2.0,0.0007935331593722506
1066,0.0,0.0,1.0,4.0,4.0,4.0,2.0,1.0,0.0,7.0,8.0,1.33,0.0,89.0,1.0,0.0,1.0,1.0,8.125,1.0,3.5,1.0,0.0,0.440217391304348,1.0,3.0,3.622580176676493e-05
835,1.0,0.0,1.0,2.0,6.0,0.0,3.0,1.0,4.0,6.0,44.0,2.04,0.0,77.0,1.0,8.0,13.0,2.0,6.44897959183673,1.0,11.6734693877551,1.0,0.0,1.1,0.5,1.0,0.00026549669056741276
849,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,8.0,10.0,0.17,0.0,73.0,3.0,1.0,5.0,1.0,4.2,1.0,4.5,1.0,0.0,0.4,0.2,0.0,2.328562820685942e-05
852,1.0,3.0,1.0,2.0,0.0,0.0,2.0,4.0,1.0,8.0,17.0,1.13,0.0,64.0,2.0,1.0,16.0,2.0,4.54545454545455,0.0,6.09090909090909,0.0,0.0,0.327485380116959,1.0,1.0,9.981444591666833e-05
853,3.0,0.0,1.0,4.0,1.0,0.0,2.0,5.0,2.0,20.0,17.0,0.16,0.0,23.0,4.0,1.0,32.0,2.0,4.07407407407407,0.0,3.22222222222222,0.0,0.0,0.312883435582822,0.5,0.0,0.19194526281548074
855,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,0.0,8.0,127.0,0.14,0.0,98.0,1.0,0.0,0.0,1.0,2.52755905511811,1.0,1.96850393700787,1.0,0.0,0.480868665977249,1.0,1.0,0.06717700589327624
856,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,8.0,14.0,2.75,0.0,77.0,1.0,0.0,4.0,1.0,8.73333333333333,2.0,3.86666666666667,1.0,0.0,0.614107883817427,1.0,4.0,0.0005331655868677787
858,4.0,18.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,22.0,20.0,0.19,0.0,70.0,1.0,0.0,34.0,5.0,3.31034482758621,0.0,3.48275862068966,0.0,0.0,0.52437417654809,1.0,0.0,0.04963103705828109
2254,19.0,0.0,1.0,0.0,5.0,0.0,3.0,4.0,0.0,14.0,35.0,0.15,0.0,78.0,2.0,0.0,8.0,2.0,4.88888888888889,0.0,3.68518518518519,0.0,0.0,0.989195678271308,0.1,1.0,5.04403232943762e-05
2282,1.0,14.0,1.0,1.0,0.0,0.0,2.0,12.0,1.0,7.0,40.0,0.11,0.0,73.0,1.0,3.0,12.0,2.0,3.03571428571429,0.0,3.19642857142857,0.0,0.0,0.806451612903226,1.0,0.0,0.004629193160253009
2283,13.0,0.0,1.0,2.0,0.0,11.0,2.0,3.0,0.0,6.0,32.0,2.35,0.0,88.0,2.0,0.0,23.0,3.0,2.73333333333333,0.0,3.44444444444444,0.0,0.0,0.839400428265525,0.666666666666667,0.0,0.006528168170110926
2289,1.0,23.0,1.0,3.0,0.0,0.0,2.0,16.0,3.0,12.0,34.0,0.17,0.0,55.0,2.0,0.0,16.0,3.0,3.18032786885246,1.0,4.14754098360656,1.0,0.0,0.851251840942563,1.0,2.0,0.03687421899190968
2290,1.0,10.0,1.0,4.0,0.0,0.0,2.0,8.0,3.0,18.0,25.0,0.3,0.0,89.0,2.0,0.0,12.0,2.0,3.69230769230769,1.0,3.76923076923077,1.0,0.0,0.894865525672372,0.5,0.0,3.3791207266764545e-06
2293,0.0,1.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,16.0,0.08,4.0,100.0,3.0,0.0,9.0,1.0,3.35,0.0,11.8,0.0,0.0,0.648739495798319,1.0,0.0,4.7377018123295755e-05
2301,0.0,0.0,1.0,6.0,7.0,0.0,2.0,2.0,3.0,4.0,11.0,0.13,0.0,93.0,1.0,2.0,1.0,2.0,2.64285714285714,0.0,4.92857142857143,0.0,0.0,0.9,0.5,1.0,8.406958273754483e-06
2311,3.0,18.0,1.0,5.0,0.0,0.0,3.0,5.0,0.0,22.0,14.0,0.08,1.0,98.0,1.0,0.0,34.0,2.0,4.65714285714286,1.0,7.74285714285714,1.0,0.0,1.0,0.666666666666667,0.0,0.00022225570050671273
1882,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,8.0,34.0,1.11,0.0,89.0,1.0,2.0,6.0,3.0,4.43243243243243,0.0,2.43243243243243,0.0,0.0,0.617234468937876,0.4,6.0,0.0008630233799975517
1925,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,13.0,14.0,0.31,0.0,80.0,1.0,0.0,4.0,5.0,4.0,1.0,3.5,1.0,2.0,0.660583941605839,1.0,2.0,0.000364042372638651
990,0.0,4.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,8.0,8.0,2.11,1.0,76.0,1.0,1.0,19.0,1.0,5.25,2.0,6.33333333333333,1.0,0.0,0.411016949152542,0.5,0.0,0.0003071652472345088
2357,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,0.08,8.0,78.0,2.0,3.0,8.0,1.0,3.75,1.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0004904756169717972
1137,2.0,0.0,1.0,4.0,1.0,1.0,10.0,1.0,17.0,6.0,21.0,0.08,5.0,74.0,5.0,1.0,26.0,8.0,2.4,0.0,12.2564102564103,0.0,0.0,0.61216429699842,1.0,3.0,0.00881067325923146
1142,0.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,3.0,5.0,9.0,0.29,2.0,83.0,5.0,0.0,14.0,2.0,3.33333333333333,0.0,7.41666666666667,2.0,0.0,0.8,1.0,1.0,0.0002738607402340554
1161,1.0,0.0,1.0,13.0,0.0,0.0,2.0,5.0,6.0,7.0,14.0,0.18,1.0,85.0,3.0,1.0,16.0,2.0,3.0952380952381,0.0,5.95238095238095,2.0,0.0,0.707142857142857,0.1,1.0,5.0446223093691955e-05
1167,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,3.0,0.24,1.0,70.0,2.0,4.0,19.0,1.0,3.2,1.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0014607806006247115
1201,6.0,0.0,1.0,6.0,0.0,0.0,2.0,14.0,1.0,27.0,28.0,3.49,0.0,91.0,3.0,9.0,7.0,2.0,3.77142857142857,0.0,4.85714285714286,0.0,0.0,0.994230769230769,0.6,1.0,0.003637963223038221
2437,0.0,0.0,1.0,2.0,4.0,1.0,2.0,6.0,6.0,27.0,29.0,0.13,3.0,83.0,2.0,0.0,8.0,2.0,4.4,1.0,5.74285714285714,1.0,0.0,0.885558583106267,0.1,1.0,4.657876649227788e-05
1212,1.0,0.0,1.0,5.0,2.0,0.0,4.0,7.0,4.0,8.0,18.0,0.08,1.0,87.0,4.0,0.0,14.0,3.0,2.92,0.0,6.4,0.0,0.0,1.1,1.0,1.0,0.0005017026585475426
1282,0.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,10.0,0.17,7.0,86.0,5.0,0.0,9.0,1.0,2.72727272727273,0.0,12.2727272727273,1.0,0.0,1.0,1.0,3.0,1.2147700410136686e-05
1610,1.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,11.0,8.0,9.0,0.23,0.0,100.0,4.0,49.0,10.0,1.0,9.09523809523809,0.0,3.04761904761905,1.0,0.0,0.431192660550459,1.0,2.0,0.001893247071437898
2548,2.0,1.0,1.0,4.0,1.0,0.0,2.0,8.0,0.0,4.0,14.0,0.93,1.0,84.0,2.0,0.0,8.0,2.0,3.05882352941176,0.0,5.0,1.0,0.0,0.713692946058091,1.0,1.0,4.283464955534555e-05
2591,3.0,3.0,1.0,2.0,1.0,2.0,2.0,11.0,5.0,16.0,44.0,0.09,4.0,32.0,3.0,1.0,24.0,2.0,3.89090909090909,0.0,8.70909090909091,24.0,0.0,0.976784677887406,0.0,0.0,0.15779826214622894
1692,1.0,0.0,1.0,1.0,2.0,0.0,2.0,24.0,5.0,8.0,35.0,0.05,1.0,75.0,4.0,0.0,13.0,2.0,2.39024390243902,0.0,6.17073170731707,1.0,0.0,0.6,0.1,1.0,5.217081343000807e-05
2004,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,21.0,0.65,0.0,0.0,1.0,2.0,13.0,2.0,2.43478260869565,0.0,4.43478260869565,1.0,1.0,0.449781659388646,0.857142857142857,1.0,0.0009805132632800806
2013,0.0,0.0,2.0,1.0,0.0,6.0,7.0,2.0,6.0,6.0,3.0,0.3,5.0,73.0,3.0,1.0,6.0,1.0,4.44444444444444,1.0,13.5555555555556,2.0,0.0,0.9,1.0,3.0,2.5905651906299454e-05
2015,0.0,1.0,2.0,2.0,0.0,3.0,4.0,2.0,10.0,8.0,4.0,0.28,1.0,84.0,3.0,0.0,6.0,2.0,3.93333333333333,0.0,7.2,1.0,0.0,1.1,0.666666666666667,4.0,3.2383667816549e-05
2049,1.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,13.0,17.0,0.13,2.0,85.0,2.0,0.0,5.0,1.0,2.78947368421053,1.0,3.15789473684211,1.0,0.0,0.676113360323887,1.0,3.0,0.00032207457348909507
