test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2,dist_mahal_num
726,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,4.0,37.0,19.0,0.24,0.0,83.0,1.0,0.0,39.0,4.0,2.90361445783133,0.0,0.0,0.0,6.0,0.846153846153846,0.0,2.0,1.0,0.52,0.48,9,8366600265340.756,10.363560589961253
771,0,0.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,4.0,10.0,24.0,0.22,0.0,91.0,2.0,0.0,23.0,2.0,1.79166666666667,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.53,0.47,2,1000000000000.0,1.1321171532314978
773,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,4.0,17.0,0.26,0.0,77.0,2.0,0.0,18.0,2.0,4.54545454545455,0.0,0.0,0.0,9.0,1.0,0.0,2.0,0.0,0.51,0.49,1,0.35555555555555585,0.18545508188735016
832,0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,11.0,25.0,0.23,1.0,80.0,1.0,1.0,16.0,2.0,2.71428571428571,0.0,1.0,0.0,7.0,0.714285714285714,0.0,3.0,2.0,0.54,0.46,12,3000348279103.339,14.335244826516227
914,0,2.0,0.0,1.0,4.0,2.0,1.0,4.0,1.0,0.0,1.0,7.0,0.18,0.0,57.0,2.0,1.0,16.0,1.0,4.44444444444444,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.92,0.08,1,500000000000.0,4.110012769150799
1009,0,0.0,0.0,1.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,8.0,0.25,6.0,0.0,6.0,0.0,10.0,1.0,0.545454545454545,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.51,0.49,3,3000000000000.0,1.5413242331084505
1103,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,25.0,12.0,14.0,0.17,0.0,85.0,4.0,1.0,13.0,2.0,6.82051282051282,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.63,0.37,2,5000000000000.0,2.4370069572470774
1105,0,0.0,0.0,1.0,1.0,0.0,15.0,1.0,1.0,0.0,0.0,1.0,0.48,10.0,0.0,5.0,0.0,2.0,1.0,3.0,2.0,18.0,1.0,1.0,1.0,0.0,3.0,0.0,0.66,0.34,3,2000000000000.0,2.987121914268683
1429,0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,7.0,5.0,8.0,0.29,2.0,68.0,3.0,3.0,3.0,1.0,3.35,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.89,0.11,1,1000000000000.0,8.220025538301599
1496,0,1.0,0.0,2.0,15.0,0.0,0.0,4.0,1.0,2.0,19.0,5.0,0.35,2.0,85.0,1.0,0.0,2.0,2.0,6.83333333333333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.51,0.49,2,4000000000000.0,1.592192277867598
1594,0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,20.0,0.31,0.0,80.0,1.0,0.0,6.0,5.0,4.63636363636364,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.58,0.42,2,2.8007633198132043,1.4575371267873796
1595,0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,38.0,0.86,0.0,91.0,1.0,0.0,2.0,3.0,1.89473684210526,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.82,0.18,8,2236067977499.7896,8.63887545961763
1601,0,6.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,6.0,7.0,0.27,0.0,63.0,1.0,0.0,11.0,2.0,4.61538461538461,2.0,1.0,0.0,3.0,0.5,0.0,4.0,1.0,0.53,0.47,1,1.0,0.7823679873868082
1721,0,0.0,1.0,1.0,1.0,0.0,5.0,4.0,2.0,10.0,6.0,3.0,0.32,2.0,81.0,3.0,0.0,3.0,2.0,3.78571428571429,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.52,0.48,2,0.5236387407976969,0.24967107106484765
